"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mean year ended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","Under 15 Years","Under 16 Years","Under 18 Years","Under 20 Years","15-39 Years","15-49 Years","15-59 Years","40-64 Years","15-64 Years","15 Years and Over","16 Years and Over","18 Years and Over","20 Years and Over","90-94 Years","60 Years and Over","65 Years and Over","75 Years and Over","80 Years and Over","85 Years and Over","90 Years and Over","95 Years and Over","Median Age (Years)","Total All Ages","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","Under 15 Years","Under 16 Years","Under 18 Years","Under 20 Years","15-39 Years","15-49 Years","15-59 Years","40-64 Years","15-64 Years","15 Years and Over","16 Years and Over","18 Years and Over","20 Years and Over","90-94 Years","60 Years and Over","65 Years and Over","75 Years and Over","80 Years and Over","85 Years and Over","90 Years and Over","95 Years and Over","Median Age (Years)","Total All Ages"
1991,31050,30190,29400,28930,27570,27090,26860,26580,26350,26420,26990,26670,26130,25810,26790,27070,27840,28970,29620,30490,30540,29620,29030,27480,26650,26480,26850,28060,28800,29250,28950,28600,28100,27160,26830,26340,25550,25220,24540,24500,24300,24310,24460,24390,24250,21310,19980,19050,17890,19120,19060,17750,16350,15750,15150,14640,14430,14240,14310,14600,15060,14850,14620,14550,14240,13740,13170,12360,11780,11390,10820,9950,8290,7930,7870,7390,6870,6540,5850,5190,4530,3930,3420,2940,2450,2050,1630,1320,1070,850,"..","..","..","..","..",147130,133310,132390,144000,143320,139440,139640,126140,121710,97360,84060,72220,73310,62450,44860,31850,17270,6930,412800,439900,496700,556800,692600,911600,1067900,448700,1141200,1306700,1279600,1222800,1162700,"..",238800,165500,58200,26300,9100,2150,"..",30.7,1719500,29520,29040,28100,27430,26090,26090,25590,25190,24840,24870,25520,25390,25380,25020,26190,26540,27830,28920,29800,30900,30870,29740,28850,28080,27600,27030,27620,29090,30270,30610,30430,29390,29020,27960,27500,27020,26390,25840,25140,24740,24510,24550,24360,24720,24470,21440,20160,18850,17910,19140,19010,17740,16570,15740,15370,14740,14090,14240,14320,14340,14940,14820,14580,14410,14270,14200,14140,13670,13480,13540,13150,12590,10710,10660,10730,10130,9930,9390,8830,8060,7160,6700,6240,5350,4660,4190,3550,3030,2490,2060,"..","..","..","..","..",140180,126590,127490,143990,145140,144630,144300,129140,122590,97490,84430,71730,73030,69020,57840,46340,30110,15310,394300,420800,477600,538200,707200,927300,1083400,449300,1156500,1382000,1355500,1298700,1238000,"..",298600,225600,98700,52400,22200,6930,"..",32.0,1776300
1992,30820,31000,30190,29390,28960,27610,27120,26900,26620,26390,26470,27060,26740,26230,25900,26920,27210,27920,28980,29630,30390,30170,29090,28580,27210,26490,26440,26960,28240,29010,29430,29110,28700,28200,27240,26920,26400,25620,25290,24630,24550,24360,24400,24520,24450,24280,21310,19980,19040,17850,19090,18990,17690,16290,15680,15080,14520,14300,14120,14180,14430,14900,14650,14390,14260,13920,13410,12830,11990,11440,11030,10390,9550,7930,7520,7470,6960,6450,6090,5390,4730,4110,3510,3020,2560,2140,1770,1360,1100,880,690,520,360,250,180,150370,134640,132400,140660,145440,137150,142670,128850,122280,102470,87740,72200,72630,63590,46420,32360,17940,7250,417400,444300,499500,558100,694800,919500,1079500,457300,1152100,1322000,1295100,1239900,1181300,2010,242500,169900,59900,27500,9600,2330,330,31.0,1739400,28700,29480,29060,28130,27470,26120,26120,25610,25220,24870,24920,25580,25440,25450,25090,26300,26670,27900,28930,29700,30640,30420,29230,28490,27880,27560,27150,27780,29290,30470,30780,30560,29460,29090,28020,27530,27060,26430,25880,25180,24790,24540,24570,24370,24710,24460,21400,20100,18810,17860,19080,18950,17680,16520,15690,15310,14670,14010,14140,14220,14250,14820,14680,14440,14260,14080,14000,13950,13460,13230,13260,12870,12300,10430,10370,10400,9780,9570,9000,8430,7650,6720,6260,5770,4900,4230,3750,3140,2650,2150,1750,1470,1050,810,660,142840,127950,126480,139490,146660,142250,147900,132080,122980,102640,87920,72350,72450,68720,59220,47180,31300,15910,397300,423600,478100,536800,708400,934000,1094300,458400,1166700,1396300,1370000,1315500,1256800,5720,302100,229600,101700,54500,23200,7270,1550,32.3,1793600
1993,30060,30820,31090,30250,29450,29070,27720,27210,27010,26730,26510,26600,27190,26900,26410,26070,27090,27330,27970,29010,29570,30060,29670,28640,28260,27030,26430,26520,27170,28560,29310,29610,29220,28810,28330,27370,27050,26510,25730,25400,24740,24640,24470,24490,24590,24530,24340,21320,19950,19010,17830,19050,18930,17630,16220,15580,14980,14410,14180,14000,14020,14280,14700,14420,14140,13960,13580,13080,12470,11600,11030,10610,9980,9130,7550,7100,7030,6500,6000,5600,4920,4290,3700,3100,2640,2210,1860,1480,1120,920,710,550,400,270,190,151670,137740,133610,137470,146200,135710,145290,132050,122930,109150,89660,73150,71570,64690,48300,32230,18650,7590,423000,449100,503500,560500,696700,928800,1091600,466500,1163200,1337100,1311000,1256600,1199600,2120,245500,173900,60900,28700,10100,2470,350,31.3,1760100,28230,28710,29540,29130,28220,27570,26190,26190,25690,25300,24980,25030,25710,25570,25590,25270,26520,26800,27960,28960,29590,30260,29920,28870,28380,27880,27710,27420,28060,29560,30690,30990,30730,29620,29210,28140,27650,27210,26560,26010,25300,24880,24610,24630,24420,24730,24450,21380,20090,18780,17810,19020,18900,17640,16440,15620,15250,14610,13930,14030,14130,14150,14700,14540,14300,14090,13900,13790,13750,13220,12960,13010,12590,11990,10120,10040,10050,9410,9170,8600,7970,7200,6290,5800,5310,4460,3800,3330,2760,2300,1820,1450,1210,860,650,143830,130950,126870,135510,147020,140640,151250,135570,123830,109430,89810,73440,71810,68760,60670,47270,32570,16650,401700,426900,480200,537200,710000,943200,1106500,468300,1178300,1411900,1386600,1333300,1276400,5990,305400,233500,104100,56800,24300,7620,1630,32.7,1813500
1994,29730,30190,31010,31280,30450,29630,29260,27900,27400,27210,26940,26730,26820,27430,27160,26700,26370,27300,27460,28090,28950,29250,29540,29220,28300,28050,27000,26510,26730,27570,28980,29630,29800,29420,29060,28580,27600,27230,26690,25950,25600,24910,24790,24610,24640,24760,24660,24440,21370,19970,19020,17810,18980,18850,17560,16140,15490,14870,14300,14060,13860,13870,14110,14510,14190,13870,13640,13250,12730,12110,11210,10650,10210,9560,8700,7140,6690,6590,6060,5550,5120,4500,3900,3300,2720,2280,1880,1580,1230,930,750,560,420,310,200,152660,141400,135080,135920,145270,135860,146900,136050,124550,115200,92230,74860,70540,65600,50340,32030,19550,7910,429100,455800,509500,565100,700000,939700,1106800,477400,1177400,1355400,1328700,1275000,1219500,2250,248600,178000,62100,30100,10500,2620,370,31.6,1784600,27970,28350,28870,29690,29320,28400,27730,26340,26360,25860,25490,25180,25230,25910,25810,25840,25550,26720,26890,28010,28870,29240,29760,29530,28720,28440,28110,28090,27840,28510,29990,31060,31300,31000,29880,29460,28360,27880,27450,26790,26230,25470,25050,24770,24760,24530,24780,24460,21400,20090,18770,17780,18960,18840,17560,16360,15550,15180,14520,13850,13930,14030,14030,14550,14380,14130,13910,13700,13590,13540,12990,12700,12720,12280,11650,9800,9710,9700,9020,8760,8130,7520,6750,5850,5350,4850,3990,3380,2930,2400,1970,1520,1200,1000,690,144190,134690,127620,133010,146120,140990,153230,139950,126270,115250,91910,75460,70920,68870,62350,46990,33600,17560,406500,432300,484600,539500,713300,954800,1122200,479800,1193100,1430600,1404700,1352400,1297500,6380,308400,237400,106200,59200,25600,8060,1680,33.0,1837000
1995,29760,29920,30440,31280,31580,30760,29910,29550,28190,27690,27500,27200,27030,27130,27750,27500,27080,26690,27510,27650,28140,28620,28680,28960,28770,27980,27920,27090,26840,27210,28160,29460,30030,30140,29770,29450,28890,27860,27510,26980,26290,25860,25150,25030,24830,24850,24910,24790,24550,21440,20010,19030,17770,18920,18770,17500,16040,15370,14760,14170,13910,13720,13690,13910,14270,13880,13550,13300,12890,12360,11710,10860,10240,9770,9130,8250,6750,6270,6150,5610,5080,4660,4060,3530,2920,2360,1950,1580,1310,1040,760,570,440,330,230,152980,146110,136610,136420,143160,137040,147570,140690,127160,120550,94500,77840,69510,65990,51700,33040,20250,8240,435700,463200,517000,572100,704900,952600,1124900,489600,1194400,1376400,1348900,1295100,1239900,2330,251400,181900,64200,31200,11000,2720,390,31.9,1812100,28050,28130,28570,29110,29940,29590,28660,27970,26600,26590,26090,25760,25450,25500,26200,26120,26190,25830,26860,26960,28020,28630,28780,29350,29280,28670,28670,28530,28620,28410,29110,30520,31510,31700,31380,30270,29800,28690,28210,27760,27070,26480,25710,25240,24940,24940,24620,24840,24500,21390,20060,18730,17730,18900,18780,17480,16280,15490,15120,14440,13750,13820,13930,13900,14400,14210,13960,13720,13510,13400,13300,12730,12410,12410,11940,11300,9470,9350,9340,8630,8330,7690,7040,6260,5390,4880,4370,3560,2980,2540,2040,1640,1260,960,780,143800,139420,129000,131960,144060,142900,154220,144730,129450,120300,94190,78820,69800,68790,62780,48090,34700,18320,412200,438300,490400,544200,717900,967600,1140600,492600,1210400,1451500,1425400,1373400,1319500,6670,310900,241100,109500,61400,26700,8400,1720,33.3,1863700
1996,29660,29970,30230,30780,31620,31940,31130,30280,29900,28530,28040,27830,27540,27380,27480,28150,27870,27390,26930,27660,27670,27910,28110,28160,28500,28440,27910,28040,27450,27430,27910,28760,29930,30530,30670,30330,29880,29230,28220,27860,27380,26610,26130,25400,25270,25080,25040,25040,24910,24640,21500,20030,19000,17720,18840,18690,17420,15930,15260,14620,14010,13740,13550,13480,13690,14000,13580,13230,12940,12510,11940,11280,10450,9800,9320,8640,7770,6310,5850,5690,5160,4630,4220,3640,3140,2540,2030,1630,1330,1080,830,590,440,330,240,152260,151780,138270,137990,140360,139280,147800,145520,130790,124710,97090,81910,68470,66270,52800,34270,20780,8600,442300,470500,525700,580300,710900,966400,1145400,503000,1213900,1399500,1371300,1316100,1261500,2430,254000,185600,66500,32200,11500,2860,430,32.1,1841800,27700,28220,28380,28850,29370,30230,29910,28950,28280,26910,26860,26390,26060,25750,25820,26540,26500,26510,25990,26950,26990,27800,28180,28340,29130,29300,28950,29220,29150,29310,29200,29780,31090,32110,32240,31860,30690,30170,29050,28570,28110,27400,26720,25930,25420,25080,25060,24700,24900,24520,21360,20010,18690,17690,18850,18730,17400,16210,15430,15030,14350,13660,13700,13810,13740,14220,14010,13760,13510,13280,13160,13030,12440,12080,12070,11580,10950,9110,8980,8930,8200,7890,7200,6520,5750,4900,4390,3900,3130,2570,2150,1690,1360,1010,750,142520,144270,130880,132500,140440,145930,154410,150340,133570,124250,96600,82800,69250,68780,62790,49540,35560,18900,417700,444200,497200,550200,723600,981500,1160900,506500,1230100,1474400,1447800,1394800,1341900,6960,313500,244300,112700,63200,27600,8730,1770,33.6,1892100
1997,29120,29750,30150,30400,30980,31800,32140,31380,30510,30110,28830,28310,28050,27710,27570,27700,28320,27920,27380,26880,27510,27270,27300,27480,27590,28090,28210,27940,28230,27840,27930,28390,29080,30260,30890,31020,30600,30040,29430,28440,28090,27590,26730,26240,25510,25400,25180,25080,25040,24910,24660,21490,19950,18950,17640,18760,18620,17350,15840,15160,14500,13890,13630,13410,13280,13430,13700,13280,12890,12590,12120,11530,10880,10050,9370,8870,8180,7330,5920,5450,5250,4700,4210,3780,3190,2730,2170,1730,1360,1090,880,660,450,330,240,150390,155940,140450,138210,137150,140310,146550,149520,134150,125610,102690,85740,68710,65890,53950,35750,21130,9080,446800,474500,530700,585000,711700,971500,1159900,516900,1228600,1417500,1389800,1333500,1279300,2560,257500,188800,69000,33200,12100,3030,470,32.5,1864300,27810,27780,28380,28560,29060,29590,30500,30160,29180,28530,27210,27120,26640,26280,26030,26160,26890,26790,26660,26090,26920,26720,27350,27720,27990,28980,29500,29360,29820,29790,30000,29800,30260,31520,32510,32590,32180,31010,30440,29310,28800,28320,27560,26810,26060,25540,25160,25130,24730,24920,24530,21370,20000,18700,17660,18840,18700,17370,16200,15390,14960,14320,13620,13610,13720,13630,14080,13820,13540,13300,13040,12890,12770,12160,11760,11710,11230,10590,8750,8580,8470,7760,7390,6710,6010,5270,4460,3940,3440,2700,2180,1810,1390,1080,810,141590,147950,133280,132580,136700,147450,154080,155530,137550,125480,102260,86490,70240,68370,62620,50860,36350,19810,422800,449000,502700,555400,726400,989400,1178100,522000,1248400,1495500,1469300,1415700,1362900,7260,317400,247100,116100,65300,28900,9100,1840,33.9,1918300
