Chile, Life tables (period 5x1), Females	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1992           0      0.01384  0.01368  0.12  100000    1368   98797  7747963  77.48
  1992         1-4      0.00061  0.00243  1.44   98632     240  393915  7649166  77.55
  1992         5-9      0.00024  0.00118  2.44   98392     116  491665  7255250  73.74
  1992        10-14     0.00021  0.00106  2.71   98276     104  491143  6763586  68.82
  1992        15-19     0.00039  0.00194  2.55   98172     190  490394  6272443  63.89
  1992        20-24     0.00047  0.00234  2.47   97982     229  489331  5782049  59.01
  1992        25-29     0.00053  0.00266  2.53   97753     260  488122  5292718  54.14
  1992        30-34     0.00063  0.00317  2.70   97493     309  486753  4804596  49.28
  1992        35-39     0.00108  0.00540  2.69   97184     525  484705  4317843  44.43
  1992        40-44     0.00169  0.00843  2.75   96659     815  481456  3833138  39.66
  1992        45-49     0.00265  0.01316  2.67   95844    1261  476283  3351682  34.97
  1992        50-54     0.00420  0.02080  2.65   94582    1968  468287  2875398  30.40
  1992        55-59     0.00665  0.03272  2.65   92615    3030  455959  2407112  25.99
  1992        60-64     0.01039  0.05076  2.73   89584    4547  437618  1951152  21.78
  1992        65-69     0.01760  0.08463  2.73   85037    7196  408837  1513534  17.80
  1992        70-74     0.02888  0.13515  2.63   77841   10520  364239  1104698  14.19
  1992        75-79     0.04843  0.21683  2.59   67321   14597  301397   740459  11.00
  1992        80-84     0.07684  0.32361  2.56   52724   17062  222057   439062   8.33
  1992        85-89     0.12400  0.47096  2.45   35662   16795  135446   217005   6.09
  1992        90-94     0.20034  0.64269  2.21   18866   12125   60523    81560   4.32
  1992        95-99     0.30015  0.79538  2.05    6741    5362   17864    21037   3.12
  1992       100-104    0.42374  0.89687  1.79    1379    1237    2920     3172   2.30
  1992       105-109    0.55807  0.95129  1.54     142     135     242      253   1.78
  1992       110+       0.66634  1.00000  1.50       7       7      10       10   1.50
  1993           0      0.01241  0.01228  0.12  100000    1228   98924  7766052  77.66
  1993         1-4      0.00058  0.00232  1.39   98772     229  394493  7667129  77.62
  1993         5-9      0.00023  0.00115  2.26   98543     114  492406  7272636  73.80
  1993        10-14     0.00023  0.00115  2.53   98430     113  491869  6780230  68.88
  1993        15-19     0.00037  0.00186  2.54   98316     183  491131  6288361  63.96
  1993        20-24     0.00041  0.00204  2.43   98133     200  490152  5797231  59.08
  1993        25-29     0.00049  0.00246  2.56   97933     241  489077  5307079  54.19
  1993        30-34     0.00063  0.00316  2.55   97692     309  487704  4818002  49.32
  1993        35-39     0.00108  0.00537  2.70   97384     523  485714  4330298  44.47
  1993        40-44     0.00158  0.00785  2.61   96861     761  482487  3844584  39.69
  1993        45-49     0.00282  0.01399  2.64   96100    1344  477324  3362097  34.99
  1993        50-54     0.00433  0.02144  2.64   94756    2031  468994  2884773  30.44
  1993        55-59     0.00642  0.03161  2.70   92725    2931  456871  2415780  26.05
  1993        60-64     0.01032  0.05040  2.70   89794    4525  438574  1958908  21.82
  1993        65-69     0.01690  0.08128  2.65   85269    6930  410077  1520335  17.83
  1993        70-74     0.02835  0.13272  2.60   78338   10397  366687  1110258  14.17
  1993        75-79     0.04961  0.22182  2.61   67941   15070  303748   743571  10.94
  1993        80-84     0.07557  0.31871  2.54   52871   16851  222967   439823   8.32
  1993        85-89     0.12718  0.48021  2.45   36020   17297  136011   216856   6.02
  1993        90-94     0.20159  0.64926  2.26   18723   12156   60299    80845   4.32
  1993        95-99     0.29925  0.79435  2.05    6567    5216   17432    20546   3.13
  1993       100-104    0.42247  0.89612  1.79    1351    1210    2865     3115   2.31
  1993       105-109    0.55654  0.95086  1.54     140     133     240      250   1.78
  1993       110+       0.66471  1.00000  1.50       7       7      10       10   1.50
  1994           0      0.01180  0.01168  0.12  100000    1168   98978  7819242  78.19
  1994         1-4      0.00049  0.00195  1.52   98832     193  394851  7720264  78.11
  1994         5-9      0.00023  0.00113  2.26   98640     112  492891  7325413  74.26
  1994        10-14     0.00022  0.00109  2.59   98528     108  492379  6832521  69.35
  1994        15-19     0.00035  0.00173  2.29   98420     170  491639  6340142  64.42
  1994        20-24     0.00039  0.00192  2.59   98250     189  490795  5848503  59.53
  1994        25-29     0.00045  0.00226  2.63   98061     221  489780  5357708  54.64
  1994        30-34     0.00060  0.00299  2.56   97840     292  488485  4867928  49.75
  1994        35-39     0.00103  0.00513  2.73   97547     501  486597  4379443  44.90
