Finland, Life tables (period 5x1), Females	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0      0.18302  0.16261  0.31  100000   16261   88847  4025475  40.25
  1878         1-4      0.04619  0.16481  1.38   83739   13801  298803  3936628  47.01
  1878         5-9      0.01064  0.05156  2.05   69938    3606  339044  3637824  52.02
  1878        10-14     0.00563  0.02774  2.34   66332    1840  326768  3298781  49.73
  1878        15-19     0.00595  0.02931  2.47   64492    1890  317678  2972012  46.08
  1878        20-24     0.00636  0.03130  2.56   62601    1959  308223  2654334  42.40
  1878        25-29     0.00773  0.03795  2.57   60642    2301  297616  2346111  38.69
  1878        30-34     0.00793  0.03887  2.54   58341    2268  286132  2048495  35.11
  1878        35-39     0.00923  0.04511  2.53   56073    2530  274122  1762363  31.43
  1878        40-44     0.01084  0.05276  2.49   53543    2825  260623  1488240  27.80
  1878        45-49     0.01099  0.05350  2.51   50718    2714  246838  1227617  24.20
  1878        50-54     0.01489  0.07176  2.46   48005    3445  231289   980779  20.43
  1878        55-59     0.02172  0.10308  2.54   44560    4593  211511   749491  16.82
  1878        60-64     0.03590  0.16490  2.54   39967    6591  183593   537980  13.46
  1878        65-69     0.05419  0.23868  2.51   33376    7966  147007   354387  10.62
  1878        70-74     0.08298  0.34279  2.47   25410    8710  104972   207380   8.16
  1878        75-79     0.12770  0.47619  2.33   16699    7952   62269   102408   6.13
  1878        80-84     0.19624  0.63197  2.18    8747    5528   28170    40139   4.59
  1878        85-89     0.25068  0.72577  2.10    3219    2336    9321    11968   3.72
  1878        90-94     0.31985  0.81042  1.96     883     715    2237     2648   3.00
  1878        95-99     0.39782  0.87554  1.80     167     147     368      411   2.46
  1878       100-104    0.48136  0.92109  1.65      21      19      40       43   2.05
  1878       105-109    0.56615  0.95054  1.51       2       2       3        3   1.76
  1878       110+       0.63396  1.00000  1.58       0       0       0        0   1.58
  1879           0      0.14308  0.13030  0.31  100000   13030   91063  4608018  46.08
  1879         1-4      0.03173  0.11768  1.52   86970   10235  322544  4516955  51.94
  1879         5-9      0.00759  0.03713  2.14   76735    2849  375515  4194411  54.66
  1879        10-14     0.00415  0.02055  2.51   73886    1519  365651  3818896  51.69
  1879        15-19     0.00443  0.02192  2.56   72367    1586  357971  3453245  47.72
  1879        20-24     0.00613  0.03016  2.46   70781    2135  348475  3095274  43.73
  1879        25-29     0.00626  0.03079  2.46   68646    2114  337867  2746799  40.01
  1879        30-34     0.00863  0.04224  2.48   66532    2810  325567  2408932  36.21
  1879        35-39     0.00930  0.04542  2.45   63722    2895  311225  2083365  32.69
  1879        40-44     0.00930  0.04544  2.50   60827    2764  297218  1772139  29.13
  1879        45-49     0.00964  0.04708  2.56   58063    2733  283649  1474921  25.40
