Ireland, Life tables (period 5x1), Females	Last modified: 01 Oct 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0      0.04025  0.03900  0.20  100000    3900   96891  6673321  66.73
  1950         1-4      0.00216  0.00861  1.69   96100     828  382488  6576430  68.43
  1950         5-9      0.00084  0.00419  2.03   95272     399  475178  6193942  65.01
  1950        10-14     0.00076  0.00382  2.58   94873     362  473490  5718763  60.28
  1950        15-19     0.00165  0.00823  2.77   94511     778  470822  5245274  55.50
  1950        20-24     0.00253  0.01256  2.73   93733    1178  465988  4774451  50.94
  1950        25-29     0.00276  0.01370  2.65   92556    1268  459798  4308463  46.55
  1950        30-34     0.00330  0.01637  2.56   91288    1494  452787  3848665  42.16
  1950        35-39     0.00373  0.01850  2.47   89794    1661  444762  3395878  37.82
  1950        40-44     0.00448  0.02212  2.43   88133    1950  435646  2951116  33.48
  1950        45-49     0.00521  0.02575  2.67   86183    2219  425737  2515470  29.19
  1950        50-54     0.00866  0.04240  2.55   83964    3560  411109  2089733  24.89
  1950        55-59     0.01234  0.05990  2.57   80404    4816  390335  1678624  20.88
  1950        60-64     0.02057  0.09787  2.52   75588    7398  359578  1288289  17.04
  1950        65-69     0.03002  0.13962  2.50   68190    9521  317182   928711  13.62
  1950        70-74     0.05311  0.23547  2.60   58670   13815  260125   611529  10.42
  1950        75-79     0.08772  0.35766  2.42   44855   16043  182881   351403   7.83
  1950        80-84     0.13679  0.50389  2.39   28812   14518  106133   168522   5.85
  1950        85-89     0.20022  0.62732  2.02   14294    8967   44786    62389   4.36
  1950        90-94     0.28601  0.76803  1.99    5327    4091   14305    17604   3.30
  1950        95-99     0.36179  0.85090  1.89    1236    1052    2906     3299   2.67
  1950       100-104    0.46220  0.91405  1.69     184     168     364      392   2.13
  1950       105-109    0.56607  0.95163  1.51      16      15      27       28   1.76
  1950       110+       0.64919  1.00000  1.54       1       1       1        1   1.54
  1951           0      0.03940  0.03819  0.20  100000    3819   96943  6610702  66.11
  1951         1-4      0.00241  0.00960  1.37   96181     923  382297  6513759  67.72
  1951         5-9      0.00069  0.00342  2.21   95257     326  475377  6131462  64.37
  1951        10-14     0.00073  0.00365  2.84   94931     347  473908  5656085  59.58
  1951        15-19     0.00128  0.00640  2.82   94585     605  471603  5182176  54.79
  1951        20-24     0.00214  0.01063  2.53   93979     999  467430  4710573  50.12
