Japan, Life tables (period 5x1), Females	Last modified: 21 Nov 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0      0.08360  0.07906  0.31  100000    7906   94577  5368932  53.69
  1947         1-4      0.01800  0.06870  1.34   92094    6326  351518  5274355  57.27
  1947         5-9      0.00313  0.01549  2.04   85767    1329  424905  4922837  57.40
  1947        10-14     0.00193  0.00961  2.63   84439     811  420270  4497932  53.27
  1947        15-19     0.00456  0.02260  2.83   83628    1890  414042  4077662  48.76
  1947        20-24     0.00746  0.03663  2.55   81738    2994  401338  3663619  44.82
  1947        25-29     0.00734  0.03601  2.47   78744    2836  386530  3262281  41.43
  1947        30-34     0.00707  0.03472  2.48   75908    2635  372887  2875752  37.88
  1947        35-39     0.00716  0.03519  2.52   73273    2579  359965  2502865  34.16
  1947        40-44     0.00788  0.03865  2.52   70694    2733  346698  2142900  30.31
  1947        45-49     0.00916  0.04483  2.60   67961    3047  332503  1796202  26.43
  1947        50-54     0.01245  0.06041  2.58   64915    3922  315079  1463699  22.55
  1947        55-59     0.01700  0.08169  2.63   60993    4983  293148  1148620  18.83
  1947        60-64     0.02694  0.12652  2.60   56010    7086  263070   855472  15.27
  1947        65-69     0.04051  0.18460  2.60   48924    9031  222942   592403  12.11
  1947        70-74     0.06518  0.28082  2.54   39893   11203  171870   369461   9.26
  1947        75-79     0.10490  0.41601  2.51   28690   11935  113782   197591   6.89
  1947        80-84     0.16743  0.57844  2.33   16755    9692   57884    83809   5.00
  1947        85-89     0.24648  0.72647  2.17    7063    5131   20818    25925   3.67
  1947        90-94     0.36441  0.85382  1.89    1932    1650    4527     5106   2.64
  1947        95-99     0.47925  0.92364  1.67     282     261     544      580   2.05
  1947       100-104    0.60488  0.96210  1.46      22      21      34       35   1.64
  1947       105-109    0.71906  0.97997  1.29       1       1       1        1   1.39
  1947       110+       0.80100  1.00000  1.25       0       0       0        0   1.25
  1948           0      0.05930  0.05687  0.28  100000    5687   95888  5866472  58.66
  1948         1-4      0.01023  0.03988  1.44   94313    3761  367622  5770584  61.19
  1948         5-9      0.00224  0.01111  2.13   90552    1006  449870  5402962  59.67
  1948        10-14     0.00158  0.00788  2.64   89546     706  446063  4953091  55.31
  1948        15-19     0.00364  0.01808  2.84   88840    1606  440730  4507028  50.73
  1948        20-24     0.00672  0.03307  2.57   87234    2885  429158  4066298  46.61
  1948        25-29     0.00669  0.03287  2.44   84349    2772  414657  3637140  43.12
  1948        30-34     0.00618  0.03041  2.48   81577    2481  401631  3222482  39.50
  1948        35-39     0.00641  0.03155  2.53   79096    2495  389326  2820851  35.66
  1948        40-44     0.00707  0.03472  2.52   76601    2660  376402  2431525  31.74
  1948        45-49     0.00826  0.04050  2.57   73941    2995  362418  2055123  27.79
  1948        50-54     0.01129  0.05498  2.59   70947    3901  345349  1692706  23.86
  1948        55-59     0.01556  0.07502  2.62   67046    5030  323268  1347357  20.10
  1948        60-64     0.02310  0.10955  2.64   62016    6794  294050  1024089  16.51
  1948        65-69     0.03573  0.16456  2.61   55222    9087  254351   730039  13.22
  1948        70-74     0.05576  0.24556  2.57   46135   11329  203160   475688  10.31
  1948        75-79     0.08692  0.35782  2.53   34806   12454  143278   272528   7.83
  1948        80-84     0.13820  0.50917  2.42   22352   11381   82351   129250   5.78
  1948        85-89     0.20723  0.66157  2.27   10971    7258   35024    46899   4.27
  1948        90-94     0.29225  0.78485  2.05    3713    2914    9971    11874   3.20
  1948        95-99     0.40847  0.88630  1.81     799     708    1733     1903   2.38
  1948       100-104    0.52890  0.94174  1.58      91      86     162      170   1.87
  1948       105-109    0.64685  0.96982  1.39       5       5       8        8   1.54
  1948       110+       0.73663  1.00000  1.36       0       0       0        0   1.36
  1949           0      0.06141  0.05883  0.28  100000    5883   95794  5946108  59.46
  1949         1-4      0.01034  0.04032  1.45   94117    3794  366794  5850314  62.16
  1949         5-9      0.00214  0.01066  2.03   90323     962  448760  5483520  60.71
  1949        10-14     0.00136  0.00680  2.61   89361     607  445352  5034760  56.34
  1949        15-19     0.00309  0.01537  2.85   88753    1364  440828  4589408  51.71
  1949        20-24     0.00565  0.02788  2.61   87389    2437  431127  4148580  47.47
  1949        25-29     0.00603  0.02971  2.44   84952    2524  418298  3717454  43.76
  1949        30-34     0.00567  0.02795  2.47   82428    2304  406322  3299156  40.02
  1949        35-39     0.00584  0.02878  2.52   80125    2306  394898  2892834  36.10
  1949        40-44     0.00648  0.03189  2.53   77818    2481  382954  2497936  32.10
  1949        45-49     0.00776  0.03808  2.59   75337    2869  369768  2114982  28.07
  1949        50-54     0.01057  0.05154  2.61   72468    3735  353421  1745214  24.08
  1949        55-59     0.01474  0.07121  2.62   68734    4895  332023  1391793  20.25
  1949        60-64     0.02259  0.10725  2.64   63839    6846  303011  1059770  16.60
  1949        65-69     0.03479  0.16060  2.61   56992    9153  263093   756760  13.28
  1949        70-74     0.05506  0.24299  2.58   47839   11624  211108   493666  10.32
  1949        75-79     0.08594  0.35397  2.51   36215   12819  149168   282558   7.80
  1949        80-84     0.13872  0.50961  2.40   23396   11923   85950   133390   5.70
  1949        85-89     0.21526  0.67440  2.23   11473    7737   35945    47440   4.13
  1949        90-94     0.30602  0.80440  2.05    3736    3005    9819    11496   3.08
  1949        95-99     0.42533  0.89690  1.78     731     655    1541     1676   2.29
  1949       100-104    0.55089  0.94875  1.55      75      71     130      135   1.80
  1949       105-109    0.67123  0.97382  1.36       4       4       6        6   1.49
  1949       110+       0.76095  1.00000  1.31       0       0       0        0   1.31
  1950           0      0.05474  0.05260  0.26  100000    5260   96103  6089206  60.89
  1950         1-4      0.00908  0.03551  1.54   94740    3364  370670  5993104  63.26
  1950         5-9      0.00200  0.00995  2.02   91376     909  454168  5622434  61.53
  1950        10-14     0.00121  0.00602  2.59   90466     544  451021  5168266  57.13
  1950        15-19     0.00251  0.01250  2.83   89922    1124  447176  4717245  52.46
  1950        20-24     0.00447  0.02214  2.65   88798    1966  439362  4270069  48.09
  1950        25-29     0.00511  0.02524  2.50   86832    2191  428674  3830707  44.12
  1950        30-34     0.00495  0.02443  2.50   84641    2068  418033  3402033  40.19
  1950        35-39     0.00531  0.02622  2.54   82573    2165  407528  2984000  36.14
  1950        40-44     0.00604  0.02974  2.53   80408    2392  396135  2576472  32.04
