Republic of Korea, Life tables (period 5x1), Females	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2003           0      0.00485  0.00483  0.14  100000     483   99585  8070708  80.71
  2003         1-4      0.00033  0.00131  1.75   99517     131  397776  7971123  80.10
  2003         5-9      0.00016  0.00081  2.30   99387      80  496717  7573347  76.20
  2003        10-14     0.00012  0.00062  2.49   99306      62  496377  7076631  71.26
  2003        15-19     0.00026  0.00130  2.65   99245     129  495921  6580254  66.30
  2003        20-24     0.00035  0.00173  2.61   99116     171  495172  6084333  61.39
  2003        25-29     0.00043  0.00216  2.58   98945     214  494206  5589161  56.49
  2003        30-34     0.00055  0.00275  2.68   98731     271  493024  5094955  51.60
  2003        35-39     0.00076  0.00382  2.64   98459     376  491410  4601931  46.74
  2003        40-44     0.00114  0.00568  2.68   98084     557  489124  4110521  41.91
  2003        45-49     0.00166  0.00824  2.68   97526     804  485769  3621397  37.13
  2003        50-54     0.00242  0.01204  2.62   96722    1165  480838  3135629  32.42
  2003        55-59     0.00368  0.01824  2.67   95558    1743  473731  2654791  27.78
  2003        60-64     0.00600  0.02959  2.72   93815    2776  462737  2181060  23.25
  2003        65-69     0.01098  0.05358  2.75   91039    4878  444229  1718323  18.87
  2003        70-74     0.02105  0.10042  2.72   86161    8652  411061  1274094  14.79
  2003        75-79     0.04116  0.18773  2.66   77508   14551  353483   863033  11.13
  2003        80-84     0.07746  0.32571  2.56   62958   20506  264730   509550   8.09
  2003        85-89     0.13319  0.49560  2.42   42452   21039  157961   244820   5.77
  2003        90-94     0.21714  0.67607  2.21   21413   14477   66669    86859   4.06
  2003        95-99     0.32480  0.82230  2.00    6936    5704   17561    20190   2.91
  2003       100-104    0.45933  0.91611  1.72    1233    1129    2458     2629   2.13
  2003       105-109    0.60089  0.96201  1.47     103      99     166      171   1.65
  2003       110+       0.71148  1.00000  1.41       4       4       6        6   1.41
  2004           0      0.00457  0.00455  0.14  100000     455   99608  8120100  81.20
  2004         1-4      0.00031  0.00124  1.78   99545     123  397905  8020492  80.57
  2004         5-9      0.00015  0.00077  2.35   99422      77  496905  7622587  76.67
  2004        10-14     0.00013  0.00063  2.69   99345      63  496580  7125682  71.73
  2004        15-19     0.00021  0.00103  2.80   99282     102  496186  6629102  66.77
  2004        20-24     0.00030  0.00151  2.58   99180     150  495536  6132917  61.84
  2004        25-29     0.00038  0.00190  2.44   99030     188  494666  5637381  56.93
  2004        30-34     0.00050  0.00249  2.65   98841     246  493628  5142715  52.03
  2004        35-39     0.00076  0.00377  2.68   98595     372  492113  4649087  47.15
  2004        40-44     0.00111  0.00556  2.74   98223     546  489885  4156975  42.32
  2004        45-49     0.00159  0.00794  2.66   97677     776  486569  3667090  37.54
  2004        50-54     0.00231  0.01151  2.68   96902    1115  481918  3180521  32.82
  2004        55-59     0.00339  0.01680  2.68   95786    1609  475204  2698603  28.17
  2004        60-64     0.00567  0.02798  2.71   94177    2635  464839  2223399  23.61
  2004        65-69     0.01025  0.05006  2.73   91542    4583  447322  1758560  19.21
  2004        70-74     0.01970  0.09427  2.72   86959    8197  416132  1311238  15.08
  2004        75-79     0.03900  0.17884  2.68   78762   14086  361161   895105  11.36
  2004        80-84     0.07401  0.31422  2.60   64677   20323  274596   533945   8.26
  2004        85-89     0.13100  0.49124  2.45   44354   21788  166317   259349   5.85
  2004        90-94     0.21080  0.66744  2.25   22565   15061   71448    93032   4.12
  2004        95-99     0.32884  0.82695  1.99    7504    6206   18872    21584   2.88
  2004       100-104    0.46964  0.92132  1.70    1299    1196    2548     2712   2.09
  2004       105-109    0.61648  0.96543  1.44     102      99     160      165   1.61
  2004       110+       0.72956  1.00000  1.37       4       4       5        5   1.37
  2005           0      0.00412  0.00411  0.14  100000     411   99647  8156005  81.56
  2005         1-4      0.00026  0.00102  1.52   99589     102  398105  8056358  80.90
  2005         5-9      0.00015  0.00076  2.28   99487      76  497231  7658253  76.98
  2005        10-14     0.00013  0.00065  2.59   99412      64  496904  7161022  72.03
  2005        15-19     0.00022  0.00111  2.71   99347     110  496485  6664118  67.08
  2005        20-24     0.00039  0.00193  2.58   99237     192  495723  6167633  62.15
  2005        25-29     0.00044  0.00221  2.50   99046     219  494682  5671910  57.27
  2005        30-34     0.00055  0.00275  2.55   98827     272  493469  5177228  52.39
  2005        35-39     0.00076  0.00377  2.70   98555     371  491921  4683759  47.52
  2005        40-44     0.00104  0.00518  2.68   98184     509  489734  4191838  42.69
  2005        45-49     0.00157  0.00782  2.64   97675     764  486571  3702104  37.90
  2005        50-54     0.00224  0.01115  2.64   96910    1081  481997  3215533  33.18
  2005        55-59     0.00324  0.01610  2.65   95829    1543  475516  2733536  28.53
  2005        60-64     0.00541  0.02673  2.69   94287    2521  465597  2258019  23.95
  2005        65-69     0.00952  0.04661  2.73   91766    4277  449132  1792422  19.53
  2005        70-74     0.01848  0.08866  2.72   87489    7757  419783  1343290  15.35
  2005        75-79     0.03743  0.17231  2.70   79732   13738  367009   923507  11.58
  2005        80-84     0.07110  0.30371  2.60   65994   20043  281894   556499   8.43
  2005        85-89     0.12633  0.47922  2.48   45951   22021  174308   274605   5.98
  2005        90-94     0.20653  0.66030  2.27   23930   15801   76509   100297   4.19
  2005        95-99     0.32222  0.82058  2.01    8129    6671   20702    23788   2.93
  2005       100-104    0.46309  0.91846  1.72    1459    1340    2893     3086   2.12
  2005       105-109    0.61111  0.96442  1.45     119     115     188      194   1.63
  2005       110+       0.72560  1.00000  1.38       4       4       6        6   1.38
  2006           0      0.00373  0.00372  0.14  100000     372   99681  8211667  82.12
  2006         1-4      0.00028  0.00110  1.70   99628     110  398260  8111986  81.42
  2006         5-9      0.00014  0.00071  2.23   99518      70  497397  7713726  77.51
  2006        10-14     0.00011  0.00056  2.94   99448      55  497127  7216329  72.56
  2006        15-19     0.00021  0.00104  2.78   99393     104  496735  6719202  67.60
  2006        20-24     0.00031  0.00156  2.61   99289     155  496075  6222467  62.67
  2006        25-29     0.00037  0.00186  2.49   99134     185  495207  5726392  57.76
  2006        30-34     0.00047  0.00234  2.65   98950     232  494205  5231185  52.87
  2006        35-39     0.00067  0.00337  2.71   98718     332  492828  4736980  47.98
  2006        40-44     0.00096  0.00480  2.61   98386     472  490799  4244152  43.14
  2006        45-49     0.00142  0.00708  2.62   97913     693  487916  3753353  38.33
  2006        50-54     0.00216  0.01074  2.67   97220    1044  483669  3265437  33.59
  2006        55-59     0.00310  0.01537  2.69   96176    1479  477466  2781768  28.92
  2006        60-64     0.00483  0.02386  2.71   94697    2260  468314  2304302  24.33
  2006        65-69     0.00894  0.04379  2.71   92438    4048  452926  1835988  19.86
  2006        70-74     0.01717  0.08263  2.72   88390    7304  425303  1383061  15.65
  2006        75-79     0.03466  0.16056  2.71   81086   13019  375574   957758  11.81
  2006        80-84     0.06893  0.29638  2.64   68067   20174  292654   582184   8.55
  2006        85-89     0.12322  0.47071  2.49   47894   22544  182959   289530   6.05
  2006        90-94     0.20618  0.66082  2.28   25350   16751   81245   106571   4.20
  2006        95-99     0.31962  0.81819  2.02    8598    7035   22010    25326   2.95
  2006       100-104    0.46191  0.91808  1.72    1563    1435    3107     3315   2.12
  2006       105-109    0.61171  0.96462  1.45     128     124     202      208   1.63
  2006       110+       0.72748  1.00000  1.37       5       5       6        6   1.37
  2007           0      0.00358  0.00357  0.14  100000     357   99693  8242256  82.42
  2007         1-4      0.00025  0.00100  1.71   99643     100  398342  8142562  81.72
  2007         5-9      0.00013  0.00063  2.25   99543      63  497542  7744220  77.80
  2007        10-14     0.00011  0.00054  2.83   99480      54  497284  7246677  72.85
  2007        15-19     0.00021  0.00105  2.71   99426     104  496894  6749393  67.88
  2007        20-24     0.00041  0.00203  2.73   99322     201  496155  6252499  62.95
  2007        25-29     0.00047  0.00236  2.49   99121     233  495020  5756345  58.07
  2007        30-34     0.00058  0.00292  2.50   98888     289  493718  5261324  53.21
  2007        35-39     0.00070  0.00350  2.59   98599     345  492161  4767607  48.35
  2007        40-44     0.00097  0.00483  2.66   98254     475  490157  4275445  43.51
  2007        45-49     0.00145  0.00721  2.59   97779     705  487196  3785288  38.71
  2007        50-54     0.00196  0.00978  2.64   97073     949  483126  3298093  33.98
  2007        55-59     0.00291  0.01447  2.65   96124    1391  477356  2814967  29.28
  2007        60-64     0.00472  0.02333  2.68   94734    2210  468548  2337611  24.68
  2007        65-69     0.00843  0.04135  2.71   92523    3826  453846  1869063  20.20
  2007        70-74     0.01639  0.07905  2.75   88697    7012  427688  1415217  15.96
  2007        75-79     0.03318  0.15422  2.72   81686   12597  379659   987529  12.09
  2007        80-84     0.06461  0.28054  2.66   69088   19382  299997   607870   8.80
  2007        85-89     0.11788  0.45503  2.49   49706   22618  191873   307873   6.19
  2007        90-94     0.20015  0.64876  2.29   27088   17574   87804   116000   4.28
  2007        95-99     0.31698  0.81605  2.03    9515    7764   24495    28195   2.96
  2007       100-104    0.46323  0.91908  1.72    1750    1609    3472     3701   2.11
  2007       105-109    0.61724  0.96589  1.44     142     137     222      228   1.61
  2007       110+       0.73551  1.00000  1.36       5       5       7        7   1.36
  2008           0      0.00328  0.00328  0.14  100000     328   99719  8301500  83.01
  2008         1-4      0.00021  0.00085  1.63   99672      85  398490  8201781  82.29
  2008         5-9      0.00013  0.00063  2.30   99588      62  497771  7803291  78.36
  2008        10-14     0.00011  0.00055  2.89   99526      55  497512  7305519  73.40
  2008        15-19     0.00020  0.00100  2.66   99471      99  497121  6808008  68.44
  2008        20-24     0.00037  0.00183  2.70   99372     181  496441  6310886  63.51
  2008        25-29     0.00048  0.00240  2.49   99190     238  495352  5814446  58.62
  2008        30-34     0.00056  0.00278  2.55   98952     275  494083  5319094  53.75
  2008        35-39     0.00068  0.00340  2.63   98676     336  492588  4825010  48.90
  2008        40-44     0.00097  0.00485  2.61   98341     477  490562  4332422  44.06
  2008        45-49     0.00139  0.00692  2.62   97863     677  487704  3841860  39.26
  2008        50-54     0.00195  0.00972  2.61   97187     944  483680  3354156  34.51
  2008        55-59     0.00283  0.01406  2.66   96242    1354  478049  2870476  29.83
  2008        60-64     0.00438  0.02166  2.65   94888    2055  469616  2392427  25.21
  2008        65-69     0.00775  0.03806  2.75   92833    3534  456211  1922811  20.71
