Luxembourg, Life tables (period 5x1), Females	Last modified: 29 Oct 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1960           0      0.02386  0.02338  0.14  100000    2338   97987  7215088  72.15
  1960         1-4      0.00137  0.00548  1.73   97662     535  389430  7117100  72.88
  1960         5-9      0.00045  0.00226  1.95   97126     220  484961  6727671  69.27
  1960        10-14     0.00031  0.00154  2.52   96906     149  484162  6242710  64.42
  1960        15-19     0.00031  0.00153  1.46   96757     148  483262  5758547  59.52
  1960        20-24     0.00048  0.00238  2.52   96609     229  482476  5275285  54.60
  1960        25-29     0.00090  0.00447  2.64   96380     431  480883  4792809  49.73
  1960        30-34     0.00090  0.00451  1.96   95949     433  478429  4311926  44.94
  1960        35-39     0.00191  0.00948  2.74   95516     906  475529  3833497  40.13
  1960        40-44     0.00300  0.01491  2.89   94610    1410  470067  3357968  35.49
  1960        45-49     0.00356  0.01762  2.52   93200    1642  461932  2887901  30.99
  1960        50-54     0.00566  0.02793  2.61   91557    2557  451673  2425969  26.50
  1960        55-59     0.00824  0.04043  2.62   89000    3598  436441  1974296  22.18
  1960        60-64     0.01346  0.06516  2.55   85402    5564  413368  1537855  18.01
  1960        65-69     0.02436  0.11501  2.57   79838    9182  376902  1124487  14.08
  1960        70-74     0.04909  0.21901  2.54   70655   15474  315202   747585  10.58
  1960        75-79     0.08108  0.33906  2.59   55181   18710  230745   432383   7.84
  1960        80-84     0.13991  0.51492  2.44   36472   18780  134232   201638   5.53
  1960        85-89     0.23313  0.70712  2.22   17691   12510   53662    67406   3.81
  1960        90-94     0.36042  0.85559  1.93    5181    4433   12300    13745   2.65
  1960        95-99     0.51061  0.93791  1.63     748     702    1374     1444   1.93
  1960       100-104    0.66044  0.97315  1.38      46      45      68       70   1.51
  1960       105-109    0.78549  0.98657  1.21       1       1       2        2   1.27
  1960       110+       0.86609  1.00000  1.15       0       0       0        0   1.15
  1961           0      0.02451  0.02401  0.14  100000    2401   97940  7245247  72.45
  1961         1-4      0.00188  0.00748  1.62   97599     731  388656  7147307  73.23
  1961         5-9      0.00017  0.00086  1.01   96869      83  484013  6758651  69.77
  1961        10-14     0.00010  0.00050  3.50   96786      49  483856  6274637  64.83
  1961        15-19     0.00010  0.00049  3.50   96737      47  483615  5790781  59.86
  1961        20-24     0.00019  0.00096  4.01   96690      93  483357  5307166  54.89
  1961        25-29     0.00082  0.00408  2.88   96597     394  482153  4823809  49.94
  1961        30-34     0.00123  0.00613  2.58   96204     590  479588  4341656  45.13
  1961        35-39     0.00181  0.00902  3.04   95614     863  476374  3862068  40.39
  1961        40-44     0.00295  0.01462  2.28   94751    1385  469985  3385693  35.73
  1961        45-49     0.00463  0.02288  2.30   93366    2136  461053  2915708  31.23
  1961        50-54     0.00394  0.01952  2.76   91230    1781  452155  2454655  26.91
  1961        55-59     0.00855  0.04198  2.81   89449    3755  439037  2002500  22.39
  1961        60-64     0.01629  0.07852  2.70   85694    6728  413023  1563463  18.24
  1961        65-69     0.02845  0.13411  2.87   78965   10590  372265  1150439  14.57
  1961        70-74     0.03945  0.18055  2.66   68375   12345  312959   778174  11.38
  1961        75-79     0.07387  0.31187  2.50   56030   17474  236540   465215   8.30
  1961        80-84     0.13367  0.49586  2.40   38556   19118  143025   228675   5.93
  1961        85-89     0.19884  0.64281  2.25   19438   12495   62840    85650   4.41
  1961        90-94     0.28450  0.77483  2.06    6943    5380   18908    22810   3.29
  1961        95-99     0.38855  0.87261  1.84    1563    1364    3511     3901   2.50
  1961       100-104    0.50388  0.93272  1.62     199     186     369      390   1.96
  1961       105-109    0.61942  0.96464  1.43      13      13      21       22   1.61
  1961       110+       0.70912  1.00000  1.41       0       0       1        1   1.41
  1962           0      0.02556  0.02501  0.15  100000    2501   97864  7182899  71.83
  1962         1-4      0.00163  0.00649  1.07   97499     632  388144  7085035  72.67
  1962         5-9      0.00068  0.00339  1.91   96867     328  483318  6696891  69.14
  1962        10-14     0.00039  0.00195  2.76   96539     189  482269  6213574  64.36
  1962        15-19     0.00042  0.00212  2.26   96350     204  481190  5731304  59.48
  1962        20-24     0.00049  0.00242  1.49   96146     233  479910  5250115  54.61
  1962        25-29     0.00093  0.00462  2.38   95913     444  478404  4770205  49.73
  1962        30-34     0.00107  0.00534  2.48   95469     510  476060  4291801  44.95
  1962        35-39     0.00187  0.00930  2.51   94960     883  472605  3815741  40.18
  1962        40-44     0.00246  0.01225  2.87   94077    1152  467929  3343136  35.54
  1962        45-49     0.00232  0.01151  2.41   92925    1070  461858  2875208  30.94
  1962        50-54     0.00569  0.02807  2.58   91855    2579  453045  2413350  26.27
  1962        55-59     0.00847  0.04150  2.54   89276    3705  437275  1960305  21.96
  1962        60-64     0.01371  0.06643  2.68   85572    5685  414671  1523030  17.80
  1962        65-69     0.02635  0.12405  2.64   79887    9910  376093  1108359  13.87
  1962        70-74     0.04867  0.21876  2.69   69977   15308  314533   732266  10.46
  1962        75-79     0.08564  0.35339  2.53   54668   19319  225587   417733   7.64
  1962        80-84     0.14653  0.53045  2.40   35349   18751  127965   192146   5.44
  1962        85-89     0.23097  0.70171  2.20   16598   11647   50428    64182   3.87
  1962        90-94     0.34310  0.83894  1.95    4951    4154   12106    13754   2.78
  1962        95-99     0.47554  0.92302  1.69     797     736    1548     1647   2.07
  1962       100-104    0.61239  0.96418  1.45      61      59      97      100   1.62
  1962       105-109    0.73485  0.98190  1.27       2       2       3        3   1.36
  1962       110+       0.82024  1.00000  1.22       0       0       0        0   1.22
  1963           0      0.02326  0.02280  0.14  100000    2280   98032  7192642  71.93
  1963         1-4      0.00161  0.00642  1.39   97720     628  389241  7094610  72.60
  1963         5-9      0.00033  0.00167  2.26   97092     162  485018  6705369  69.06
  1963        10-14     0.00038  0.00188  2.27   96930     182  484154  6220351  64.17
  1963        15-19     0.00039  0.00195  2.99   96748     189  483362  5736197  59.29
  1963        20-24     0.00067  0.00336  2.63   96560     325  482028  5252836  54.40
  1963        25-29     0.00092  0.00461  3.19   96235     443  480372  4770808  49.57
  1963        30-34     0.00081  0.00407  3.18   95792     390  478248  4290435  44.79
  1963        35-39     0.00134  0.00670  3.07   95402     639  475777  3812187  39.96
  1963        40-44     0.00292  0.01451  2.62   94763    1375  470538  3336411  35.21
  1963        45-49     0.00419  0.02077  2.70   93388    1939  462483  2865872  30.69
  1963        50-54     0.00732  0.03593  2.55   91449    3286  449207  2403389  26.28
  1963        55-59     0.00883  0.04329  2.71   88163    3817  432087  1954182  22.17
  1963        60-64     0.01477  0.07134  2.59   84346    6017  407250  1522095  18.05
