By province,By age(five-year age group) of mother,By birth order,Item,UNIT,1991 Year,1992 Year,1993 Year,1994 Year,1995 Year,1996 Year,1997 Year,1998 Year,1999 Year,2000 Year,2001 Year,2002 Year,2003 Year,2004 Year,2005 Year,2006 Year,2007 Year,2008 Year,2009 Year,2010 Year,2011 Year,2012 Year,2013 Year,2014 Year,2015 Year,2016 Year,2017 Year,2018 Year,2019 Year,2020 Year,2021 Year,2022 Year,2023 Year,
Total,Total,Total,Total[Person],Person,709275,730678,715826,721185,715020,691226,675394,641594,620668,640089,559934,496911,495036,476958,438707,451759,496822,465892,444849,470171,471265,484550,436455,435435,438420,406243,357771,326822,302676,272337,260562,249186,230028,
Total,Total,Total,Male[Person],Person,375276,388573,383365,386080,379604,364433,350929,336147,324409,335433,291989,260228,257727,247835,227592,234110,255872,240119,229351,242901,242121,248958,223883,223356,224906,208064,184308,167686,155416,139362,133516,127454,117862,
Total,Total,Total,Female[Person],Person,333999,342105,332461,335105,335416,326793,324465,305447,296259,304656,267945,236683,237309,229123,211115,217649,240950,225773,215498,227270,229144,235592,212572,212079,213514,198179,173463,159136,147260,132975,127046,121732,112166,
Total,Total,First child,Total[Person],Person,378160,382098,374506,360838,345796,334756,328099,316035,310405,301424,265952,240410,243079,241710,225090,233161,264024,242097,230275,235473,239596,248933,224807,225393,228637,212932,187854,172833,162352,149211,145039,144951,138352,
Total,Total,First child,Male[Person],Person,194295,196839,193003,185624,177691,171606,168078,162762,159362,155230,136453,123974,124379,123864,115189,119852,134891,123926,118018,121384,122715,127686,115340,115768,117626,108746,96884,88603,83644,76275,74434,74201,71127,
Total,Total,First child,Female[Person],Person,183865,185259,181503,175214,168105,163150,160021,153273,151043,146194,129499,116436,118700,117846,109901,113309,129133,118171,112257,114089,116881,121247,109467,109625,111011,104186,90970,84230,78708,72936,70605,70750,67225,
Total,Total,Second child,Total[Person],Person,282916,294247,285790,301156,307793,293876,281914,262829,247476,269587,235268,202831,200299,185511,167881,172181,182941,176024,170027,181763,178964,183991,165662,165331,166119,152729,133855,122885,111572,97828,92521,83933,74361,
Total,Total,Second child,Male[Person],Person,149791,155733,152766,160556,162397,153770,145235,136288,128192,139577,121271,104941,103516,95527,86604,88635,94129,90392,87424,93439,91812,94192,84639,84528,84873,78308,68921,63150,57225,50049,47294,42943,37750,
Total,Total,Second child,Female[Person],Person,133125,138514,133024,140600,145396,140106,136679,126541,119284,130010,113997,97890,96783,89984,81277,83546,88812,85632,82603,88324,87152,89799,81023,80803,81246,74421,64934,59735,54347,47779,45227,40990,36611,
Total,Total,Third child,Total[Person],Person,39387,45462,47202,50975,53758,55297,58194,55860,54589,60411,50689,44357,41951,40883,37400,37906,41382,39344,36769,43782,45396,44217,39663,38226,37096,34684,30297,26349,24430,21358,19383,17040,14348,
Total,Total,Third child,Male[Person],Person,25365,29974,31758,34219,34377,34352,33274,32981,31953,35395,29568,25840,24101,23233,20983,20816,22164,21107,19616,23035,23792,23048,20572,19716,19032,17949,15585,13597,12382,11009,9996,8662,7425,
Total,Total,Third child,Female[Person],Person,14022,15488,15444,16756,19381,20945,24920,22879,22636,25016,21121,18517,17850,17650,16417,17090,19218,18237,17153,20747,21604,21169,19091,18510,18064,16735,14712,12752,12048,10349,9387,8378,6923,
Total,Total,Fourth child,Total[Person],Person,6559,6772,6409,6441,6046,5775,5712,5504,5463,5500,4831,4253,4100,4076,3923,4002,4256,4187,4207,5085,5233,5264,4560,4582,4389,4053,3850,3537,3386,3105,2828,2487,2288,
