Chile, Life tables (period 5x1), Males	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1992           0      0.01624  0.01601  0.12  100000    1601   98586  7146132  71.46
  1992         1-4      0.00089  0.00354  1.44   98399     348  392707  7047546  71.62
  1992         5-9      0.00029  0.00145  2.59   98051     142  489914  6654839  67.87
  1992        10-14     0.00037  0.00183  2.73   97909     179  489139  6164925  62.97
  1992        15-19     0.00087  0.00435  2.86   97730     425  487742  5675786  58.08
  1992        20-24     0.00155  0.00774  2.54   97305     753  484667  5188044  53.32
  1992        25-29     0.00169  0.00841  2.47   96551     812  480699  4703376  48.71
  1992        30-34     0.00195  0.00971  2.53   95739     930  476400  4222677  44.11
  1992        35-39     0.00235  0.01170  2.52   94809    1109  471295  3746277  39.51
  1992        40-44     0.00327  0.01623  2.62   93700    1521  464879  3274982  34.95
  1992        45-49     0.00480  0.02374  2.57   92179    2189  455587  2810104  30.49
  1992        50-54     0.00717  0.03523  2.59   89991    3170  442308  2354516  26.16
  1992        55-59     0.01155  0.05620  2.64   86821    4880  422578  1912208  22.02
  1992        60-64     0.01906  0.09116  2.61   81941    7470  391849  1489630  18.18
  1992        65-69     0.02852  0.13385  2.71   74471    9968  349551  1097780  14.74
  1992        70-74     0.04657  0.20902  2.55   64503   13482  289502   748230  11.60
  1992        75-79     0.07238  0.30707  2.53   51021   15667  216462   458727   8.99
  1992        80-84     0.10893  0.42777  2.49   35354   15123  138836   242266   6.85
  1992        85-89     0.16555  0.57241  2.31   20231   11580   69948   103429   5.11
  1992        90-94     0.23450  0.71238  2.25    8650    6162   26279    33481   3.87
  1992        95-99     0.32946  0.82350  1.96    2488    2049    6219     7202   2.89
  1992       100-104    0.43746  0.90254  1.75     439     396     906      983   2.24
  1992       105-109    0.55202  0.94838  1.54      43      41      74       77   1.80
  1992       110+       0.64441  1.00000  1.55       2       2       3        3   1.55
  1993           0      0.01506  0.01486  0.12  100000    1486   98691  7142230  71.42
  1993         1-4      0.00071  0.00282  1.45   98514     277  393347  7043539  71.50
  1993         5-9      0.00032  0.00161  2.48   98236     158  490784  6650192  67.70
  1993        10-14     0.00036  0.00180  2.72   98078     177  489989  6159408  62.80
  1993        15-19     0.00093  0.00463  2.88   97902     453  488549  5669419  57.91
  1993        20-24     0.00159  0.00793  2.56   97448     773  485358  5180870  53.17
  1993        25-29     0.00189  0.00941  2.45   96676     910  481057  4695513  48.57
  1993        30-34     0.00192  0.00953  2.49   95766     913  476535  4214455  44.01
  1993        35-39     0.00240  0.01192  2.56   94853    1131  471506  3737920  39.41
  1993        40-44     0.00318  0.01580  2.59   93722    1481  465038  3266414  34.85
  1993        45-49     0.00483  0.02384  2.56   92241    2199  455848  2801376  30.37
  1993        50-54     0.00718  0.03531  2.66   90042    3179  442761  2345528  26.05
  1993        55-59     0.01187  0.05771  2.63   86862    5012  422435  1902767  21.91
  1993        60-64     0.01898  0.09080  2.64   81850    7432  391677  1480332  18.09
  1993        65-69     0.02877  0.13475  2.65   74418   10027  348543  1088655  14.63
  1993        70-74     0.04628  0.20781  2.55   64390   13381  289103   740111  11.49
  1993        75-79     0.07344  0.30994  2.49   51009   15810  215290   451009   8.84
  1993        80-84     0.11283  0.43908  2.48   35199   15455  136980   235719   6.70
  1993        85-89     0.17027  0.58484  2.32   19744   11547   67819    98739   5.00
  1993        90-94     0.24165  0.71484  2.14    8197    5860   24249    30920   3.77
  1993        95-99     0.33489  0.82850  1.95    2337    1937    5783     6671   2.85
  1993       100-104    0.44223  0.90495  1.74     401     363     820      888   2.22
  1993       105-109    0.55555  0.94931  1.53      38      36      65       68   1.79
  1993       110+       0.64676  1.00000  1.55       2       2       3        3   1.55
  1994           0      0.01364  0.01348  0.12  100000    1348   98817  7182284  71.82
  1994         1-4      0.00069  0.00276  1.53   98652     272  393935  7083467  71.80
  1994         5-9      0.00030  0.00152  2.35   98380     149  491503  6689532  68.00
  1994        10-14     0.00035  0.00174  2.75   98230     171  490768  6198030  63.10
  1994        15-19     0.00089  0.00446  2.79   98060     438  489332  5707262  58.20
  1994        20-24     0.00146  0.00725  2.56   97622     708  486381  5217929  53.45
  1994        25-29     0.00181  0.00901  2.56   96914     873  482435  4731548  48.82
  1994        30-34     0.00193  0.00960  2.57   96041     922  477963  4249113  44.24
  1994        35-39     0.00244  0.01211  2.58   95119    1152  472806  3771150  39.65
  1994        40-44     0.00311  0.01542  2.58   93967    1449  466331  3298344  35.10
  1994        45-49     0.00526  0.02596  2.65   92518    2402  456937  2832013  30.61
  1994        50-54     0.00764  0.03752  2.66   90115    3381  442662  2375076  26.36
  1994        55-59     0.01170  0.05697  2.68   86734    4941  422216  1932415  22.28
  1994        60-64     0.01830  0.08764  2.60   81793    7168  391781  1510199  18.46
  1994        65-69     0.02773  0.13010  2.64   74625    9709  350170  1118418  14.99
  1994        70-74     0.04618  0.20750  2.56   64917   13470  291665   768248  11.83
  1994        75-79     0.06827  0.29271  2.57   51446   15059  220576   476583   9.26
  1994        80-84     0.10522  0.41436  2.44   36388   15077  143290   256007   7.04
  1994        85-89     0.15848  0.55822  2.35   21310   11896   75061   112717   5.29
  1994        90-94     0.22639  0.69021  2.17    9414    6498   28702    37655   4.00
  1994        95-99     0.30872  0.80168  2.00    2916    2338    7574     8953   3.07
  1994       100-104    0.40883  0.88527  1.80     578     512    1252     1380   2.39
