Germany, Life tables (period 5x1), Males	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1990           0      0.00808  0.00803  0.13  100000     803   99304  7191126  71.91
  1990         1-4      0.00047  0.00186  1.69   99197     185  396361  7091822  71.49
  1990         5-9      0.00024  0.00122  2.35   99012     121  494741  6695460  67.62
  1990        10-14     0.00025  0.00123  2.74   98892     122  494183  6200719  62.70
  1990        15-19     0.00078  0.00391  3.03   98770     387  493087  5706536  57.78
  1990        20-24     0.00110  0.00548  2.43   98383     539  490533  5213449  52.99
  1990        25-29     0.00113  0.00565  2.56   97844     553  487872  4722916  48.27
  1990        30-34     0.00147  0.00734  2.63   97291     715  484762  4235044  43.53
  1990        35-39     0.00203  0.01011  2.63   96577     977  480569  3750282  38.83
  1990        40-44     0.00286  0.01422  2.65   95600    1359  474809  3269713  34.20
  1990        45-49     0.00470  0.02324  2.65   94241    2190  466065  2794904  29.66
  1990        50-54     0.00762  0.03745  2.68   92051    3447  452242  2328839  25.30
  1990        55-59     0.01267  0.06151  2.66   88604    5450  430282  1876597  21.18
  1990        60-64     0.01976  0.09433  2.61   83154    7844  396996  1446315  17.39
  1990        65-69     0.03080  0.14348  2.62   75310   10806  350847  1049318  13.93
  1990        70-74     0.04837  0.21614  2.54   64504   13942  288211   698471  10.83
  1990        75-79     0.07966  0.33300  2.54   50563   16837  211351   410259   8.11
  1990        80-84     0.13143  0.49098  2.42   33725   16558  125987   198908   5.90
  1990        85-89     0.20581  0.65657  2.24   17167   11271   54766    72922   4.25
  1990        90-94     0.30506  0.80098  2.04    5896    4722   15480    18156   3.08
  1990        95-99     0.42769  0.89885  1.78    1173    1055    2466     2676   2.28
  1990       100-104    0.55939  0.95149  1.53     119     113     202      210   1.77
  1990       105-109    0.68435  0.97585  1.34       6       6       8        8   1.46
  1990       110+       0.77607  1.00000  1.29       0       0       0        0   1.29
  1991           0      0.00727  0.00723  0.13  100000     723   99375  7209448  72.09
  1991         1-4      0.00045  0.00179  1.66   99277     178  396692  7110074  71.62
  1991         5-9      0.00022  0.00109  2.36   99099     109  495208  6713382  67.74
  1991        10-14     0.00021  0.00105  2.66   98990     104  494708  6218174  62.82
  1991        15-19     0.00081  0.00406  3.00   98886     402  493631  5723466  57.88
  1991        20-24     0.00114  0.00567  2.49   98485     558  491023  5229835  53.10
  1991        25-29     0.00121  0.00602  2.57   97926     590  488197  4738813  48.39
  1991        30-34     0.00152  0.00755  2.60   97337     735  484921  4250615  43.67
  1991        35-39     0.00213  0.01057  2.63   96602    1021  480584  3765694  38.98
  1991        40-44     0.00301  0.01493  2.63   95580    1427  474522  3285110  34.37
  1991        45-49     0.00471  0.02331  2.68   94153    2194  465679  2810588  29.85
  1991        50-54     0.00750  0.03685  2.66   91959    3389  451864  2344910  25.50
  1991        55-59     0.01226  0.05962  2.68   88570    5281  430621  1893045  21.37
  1991        60-64     0.01982  0.09464  2.61   83289    7883  397642  1462424  17.56
