Finland, Life tables (period 5x1), Males	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0      0.21055  0.18347  0.30  100000   18347   87141  3840353  38.40
  1878         1-4      0.04484  0.16040  1.36   81653   13097  292066  3753211  45.97
  1878         5-9      0.01015  0.04926  2.07   68555    3377  332868  3461145  50.49
  1878        10-14     0.00478  0.02357  2.28   65178    1536  321707  3128278  48.00
  1878        15-19     0.00543  0.02679  2.66   63642    1705  314211  2806570  44.10
  1878        20-24     0.00736  0.03613  2.55   61937    2238  304210  2492359  40.24
  1878        25-29     0.00801  0.03923  2.47   59699    2342  292563  2188149  36.65
  1878        30-34     0.00802  0.03928  2.41   57357    2253  280951  1895586  33.05
  1878        35-39     0.00980  0.04785  2.52   55104    2637  268977  1614636  29.30
  1878        40-44     0.01269  0.06151  2.48   52468    3227  254220  1345659  25.65
  1878        45-49     0.01508  0.07286  2.68   49240    3587  237875  1091439  22.17
  1878        50-54     0.02066  0.09827  2.53   45653    4486  217166   853564  18.70
  1878        55-59     0.02824  0.13236  2.63   41167    5449  192939   636398  15.46
  1878        60-64     0.04438  0.19947  2.47   35718    7125  160548   443459  12.42
  1878        65-69     0.06124  0.26478  2.45   28593    7571  123636   282911   9.89
  1878        70-74     0.09506  0.38379  2.49   21022    8068   84871   159275   7.58
  1878        75-79     0.13257  0.49205  2.38   12954    6374   48081    74404   5.74
  1878        80-84     0.22721  0.69039  2.16    6580    4543   19993    26324   4.00
  1878        85-89     0.30522  0.79708  2.00    2037    1624    5320     6331   3.11
  1878        90-94     0.39854  0.87790  1.81     413     363     911     1010   2.44
  1878        95-99     0.49991  0.93011  1.62      50      47      94      100   1.98
  1878       100-104    0.60170  0.96027  1.46       4       3       6        6   1.65
  1878       105-109    0.69594  0.97654  1.32       0       0       0        0   1.43
  1878       110+       0.76655  1.00000  1.30       0       0       0        0   1.30
  1879           0      0.16987  0.15180  0.30  100000   15180   89361  4372232  43.72
  1879         1-4      0.03115  0.11549  1.47   84820    9796  314473  4282870  50.49
  1879         5-9      0.00692  0.03393  2.09   75024    2546  367714  3968398  52.89
  1879        10-14     0.00427  0.02113  2.44   72479    1531  358480  3600684  49.68
  1879        15-19     0.00490  0.02422  2.63   70948    1719  350664  3242204  45.70
  1879        20-24     0.00693  0.03406  2.47   69229    2358  340191  2891539  41.77
  1879        25-29     0.00763  0.03744  2.53   66871    2503  328163  2551348  38.15
  1879        30-34     0.00796  0.03900  2.48   64368    2510  315521  2223185  34.54
  1879        35-39     0.00956  0.04670  2.57   61858    2889  302281  1907663  30.84
  1879        40-44     0.01034  0.05041  2.57   58969    2973  287614  1605383  27.22
  1879        45-49     0.01277  0.06197  2.62   55996    3470  271732  1317769  23.53
  1879        50-54     0.01764  0.08448  2.51   52526    4437  251604  1046037  19.91
  1879        55-59     0.02396  0.11314  2.54   48089    5441  227066   794433  16.52
  1879        60-64     0.03809  0.17402  2.52   42648    7422  194857   567367  13.30
  1879        65-69     0.05256  0.23328  2.59   35226    8217  156332   372510  10.57
  1879        70-74     0.08903  0.36736  2.62   27009    9922  111450   216177   8.00
  1879        75-79     0.12746  0.48051  2.44   17087    8210   64413   104728   6.13
  1879        80-84     0.19644  0.63677  2.24    8877    5652   28774    40315   4.54
  1879        85-89     0.26142  0.74134  2.08    3224    2390    9143    11540   3.58
  1879        90-94     0.33497  0.82557  1.93     834     689    2055     2397   2.87
  1879        95-99     0.41737  0.88839  1.77     145     129     310      341   2.35
  1879       100-104    0.50473  0.93083  1.61      16      15      30       32   1.96
  1879       105-109    0.59205  0.95732  1.47       1       1       2        2   1.68
  1879       110+       0.66131  1.00000  1.51       0       0       0        0   1.51
  1880           0      0.20267  0.17746  0.30  100000   17746   87563  3825476  38.25
  1880         1-4      0.04240  0.15308  1.45   82254   12591  296939  3737913  45.44
  1880         5-9      0.01039  0.05048  2.18   69663    3517  338411  3440974  49.39
