Northern Ireland, Life tables (period 5x1), Males	Last modified: 10 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1922           0      0.08912  0.08388  0.30  100000    8388   94121  5392006  53.92
  1922         1-4      0.01042  0.04052  1.29   91612    3713  356376  5297885  57.83
  1922         5-9      0.00247  0.01224  2.08   87899    1076  436357  4941509  56.22
  1922        10-14     0.00205  0.01022  2.83   86824     887  432190  4505152  51.89
  1922        15-19     0.00498  0.02464  2.76   85936    2118  424946  4072962  47.40
  1922        20-24     0.00711  0.03492  2.52   83819    2927  411834  3648016  43.52
  1922        25-29     0.00719  0.03531  2.52   80891    2856  397377  3236182  40.01
  1922        30-34     0.00749  0.03675  2.49   78035    2867  382991  2838806  36.38
  1922        35-39     0.00783  0.03843  2.60   75168    2889  368909  2455815  32.67
  1922        40-44     0.00853  0.04175  2.52   72279    3018  353925  2086906  28.87
  1922        45-49     0.01067  0.05211  2.75   69261    3609  338183  1732981  25.02
  1922        50-54     0.01717  0.08246  2.61   65652    5414  315337  1394798  21.25
  1922        55-59     0.02018  0.09632  2.65   60238    5802  287575  1079460  17.92
  1922        60-64     0.03051  0.14216  2.61   54436    7739  253649   791886  14.55
  1922        65-69     0.04315  0.19600  2.66   46697    9153  212104   538237  11.53
  1922        70-74     0.08187  0.34163  2.58   37544   12826  156659   326133   8.69
  1922        75-79     0.10748  0.41971  2.39   24718   10374   96522   169474   6.86
  1922        80-84     0.17111  0.58615  2.31   14344    8408   49136    72952   5.09
  1922        85-89     0.22760  0.69119  2.16    5936    4103   18027    23815   4.01
  1922        90-94     0.30077  0.79111  2.00    1833    1450    4822     5788   3.16
  1922        95-99     0.38544  0.86790  1.83     383     332     862      967   2.52
  1922       100-104    0.47765  0.92025  1.66      51      47      97      104   2.07
  1922       105-109    0.57167  0.95256  1.50       4       4       7        7   1.74
  1922       110+       0.64673  1.00000  1.55       0       0       0        0   1.55
  1923           0      0.09070  0.08528  0.30  100000    8528   94023  5532107  55.32
  1923         1-4      0.01112  0.04317  1.27   91472    3949  355102  5438084  59.45
  1923         5-9      0.00251  0.01246  2.33   87523    1090  434705  5082981  58.08
  1923        10-14     0.00187  0.00933  2.62   86433     807  430241  4648277  53.78
  1923        15-19     0.00360  0.01784  2.75   85626    1527  424699  4218035  49.26
  1923        20-24     0.00539  0.02661  2.51   84099    2238  414927  3793336  45.11
  1923        25-29     0.00519  0.02560  2.51   81861    2096  404085  3378409  41.27
  1923        30-34     0.00594  0.02926  2.53   79765    2334  393056  2974325  37.29
  1923        35-39     0.00648  0.03188  2.59   77431    2468  381214  2581269  33.34
  1923        40-44     0.00770  0.03779  2.52   74963    2833  367780  2200055  29.35
  1923        45-49     0.00956  0.04677  2.69   72130    3373  352858  1832275  25.40
  1923        50-54     0.01473  0.07115  2.60   68756    4892  332047  1479417  21.52
  1923        55-59     0.02059  0.09822  2.67   63864    6273  304683  1147370  17.97
  1923        60-64     0.03162  0.14672  2.55   57592    8450  267214   842688  14.63
  1923        65-69     0.04157  0.18921  2.63   49142    9298  223649   575473  11.71
  1923        70-74     0.07694  0.32437  2.58   39844   12924  167979   351824   8.83
  1923        75-79     0.11453  0.43907  2.34   26920   11820  103197   183846   6.83
  1923        80-84     0.15223  0.54149  2.34   15100    8177   53712    80648   5.34
  1923        85-89     0.22992  0.69942  2.20    6923    4842   21061    26936   3.89
  1923        90-94     0.33727  0.83305  1.96    2081    1734    5140     5875   2.82
  1923        95-99     0.46407  0.91748  1.71     347     319     687      735   2.11
  1923       100-104    0.59639  0.96058  1.47      29      28      46       48   1.67
  1923       105-109    0.71721  0.97991  1.29       1       1       2        2   1.39
  1923       110+       0.80337  1.00000  1.24       0       0       0        0   1.24
  1924           0      0.10098  0.09431  0.30  100000    9431   93390  5370484  53.70
  1924         1-4      0.01355  0.05229  1.30   90569    4736  349467  5277093  58.27
  1924         5-9      0.00268  0.01328  2.36   85834    1140  426158  4927626  57.41
  1924        10-14     0.00213  0.01058  2.62   84693     896  421336  4501468  53.15
  1924        15-19     0.00360  0.01786  2.64   83797    1497  415447  4080132  48.69
  1924        20-24     0.00439  0.02172  2.52   82300    1787  407071  3664685  44.53
  1924        25-29     0.00502  0.02478  2.55   80513    1995  397668  3257614  40.46
  1924        30-34     0.00594  0.02925  2.52   78517    2297  386883  2859946  36.42
  1924        35-39     0.00685  0.03370  2.53   76220    2569  374748  2473063  32.45
  1924        40-44     0.00833  0.04079  2.46   73652    3004  360624  2098315  28.49
  1924        45-49     0.01028  0.05017  2.61   70648    3544  344784  1737691  24.60
  1924        50-54     0.01710  0.08200  2.51   67103    5502  321793  1392907  20.76
  1924        55-59     0.02148  0.10203  2.56   61601    6285  292657  1071114  17.39
  1924        60-64     0.03443  0.15834  2.46   55316    8759  254371   778456  14.07
  1924        65-69     0.04462  0.20118  2.56   46557    9366  209921   524085  11.26
  1924        70-74     0.07988  0.33301  2.50   37191   12385  155049   314164   8.45
  1924        75-79     0.11914  0.45257  2.35   24806   11227   94232   159115   6.41
  1924        80-84     0.18405  0.61220  2.27   13580    8313   45171    64884   4.78
  1924        85-89     0.24768  0.72206  2.11    5266    3802   15352    19713   3.74
  1924        90-94     0.32153  0.81281  1.96    1464    1190    3700     4361   2.98
  1924        95-99     0.40533  0.88112  1.79     274     241     596      661   2.41
  1924       100-104    0.49508  0.92728  1.63      33      30      61       65   2.00
  1924       105-109    0.58542  0.95587  1.48       2       2       4        4   1.70
  1924       110+       0.65720  1.00000  1.52       0       0       0        0   1.52
  1925           0      0.10427  0.09717  0.30  100000    9717   93190  5412230  54.12
  1925         1-4      0.01321  0.05101  1.28   90283    4605  348592  5319040  58.91
  1925         5-9      0.00256  0.01270  2.13   85678    1088  425271  4970448  58.01
  1925        10-14     0.00211  0.01052  2.70   84590     890  420900  4545177  53.73
  1925        15-19     0.00365  0.01809  2.66   83700    1514  414964  4124277  49.27
  1925        20-24     0.00501  0.02476  2.55   82186    2035  405950  3709312  45.13
  1925        25-29     0.00485  0.02397  2.47   80152    1922  395899  3303362  41.21
  1925        30-34     0.00521  0.02574  2.51   78230    2013  386145  2907463  37.17
  1925        35-39     0.00544  0.02683  2.47   76217    2045  375904  2521318  33.08
  1925        40-44     0.00676  0.03324  2.60   74172    2466  364946  2145414  28.92
  1925        45-49     0.01005  0.04907  2.59   71707    3518  350043  1780469  24.83
  1925        50-54     0.01510  0.07280  2.56   68188    4964  328814  1430426  20.98
  1925        55-59     0.02144  0.10199  2.62   63224    6448  300751  1101612  17.42
  1925        60-64     0.03527  0.16197  2.48   56776    9196  260718   800862  14.11
  1925        65-69     0.04165  0.18927  2.59   47580    9006  216200   540144  11.35
  1925        70-74     0.08348  0.34550  2.51   38575   13328  159657   323944   8.40
  1925        75-79     0.11450  0.44063  2.39   25247   11125   97158   164287   6.51
  1925        80-84     0.18378  0.61152  2.26   14122    8636   46991    67129   4.75
  1925        85-89     0.25188  0.72934  2.11    5486    4001   15886    20138   3.67
  1925        90-94     0.33498  0.82705  1.94    1485    1228    3666     4252   2.86
  1925        95-99     0.42955  0.89678  1.75     257     230     536      586   2.28
  1925       100-104    0.52971  0.94058  1.57      27      25      47       50   1.87
  1925       105-109    0.62797  0.96559  1.41       2       2       2        2   1.59
  1925       110+       0.70444  1.00000  1.42       0       0       0        0   1.42
  1926           0      0.10366  0.09664  0.30  100000    9664   93227  5461259  54.61
  1926         1-4      0.01305  0.05036  1.22   90336    4549  348675  5368032  59.42
  1926         5-9      0.00310  0.01535  2.38   85786    1317  425479  5019357  58.51
  1926        10-14     0.00212  0.01056  2.46   84469     892  420077  4593879  54.39
  1926        15-19     0.00287  0.01428  2.67   83577    1193  415106  4173802  49.94
  1926        20-24     0.00413  0.02044  2.59   82384    1684  407867  3758696  45.62
  1926        25-29     0.00435  0.02152  2.53   80700    1737  399203  3350829  41.52
  1926        30-34     0.00511  0.02524  2.57   78964    1993  389966  2951625  37.38
  1926        35-39     0.00543  0.02680  2.57   76970    2063  379846  2561660  33.28
  1926        40-44     0.00823  0.04037  2.69   74907    3024  367557  2181814  29.13
  1926        45-49     0.01088  0.05306  2.64   71883    3814  350431  1814256  25.24
  1926        50-54     0.01644  0.07915  2.65   68069    5388  327665  1463825  21.51
  1926        55-59     0.02109  0.10041  2.62   62681    6294  298433  1136160  18.13
  1926        60-64     0.03121  0.14528  2.63   56387    8192  262513   837727  14.86
