Hong Kong, Life tables (period 5x1), Males	Last modified: 20 Jul 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1986           0      0.00738  0.00733  0.13  100000     733   99365  7409725  74.10
  1986         1-4      0.00034  0.00138  1.73   99267     136  396757  7310360  73.64
  1986         5-9      0.00019  0.00094  2.16   99130      93  495387  6913603  69.74
  1986        10-14     0.00023  0.00114  2.71   99037     113  494928  6418216  64.81
  1986        15-19     0.00036  0.00179  2.52   98924     177  494184  5923289  59.88
  1986        20-24     0.00057  0.00285  2.46   98748     282  493025  5429105  54.98
  1986        25-29     0.00061  0.00303  2.43   98466     298  491564  4936080  50.13
  1986        30-34     0.00093  0.00462  2.47   98168     453  489693  4444516  45.27
  1986        35-39     0.00133  0.00664  2.67   97714     649  487056  3954823  40.47
  1986        40-44     0.00236  0.01174  2.83   97065    1140  482848  3467767  35.73
  1986        45-49     0.00359  0.01781  2.62   95925    1708  475569  2984919  31.12
  1986        50-54     0.00668  0.03289  2.64   94217    3099  463787  2509349  26.63
  1986        55-59     0.01027  0.05013  2.62   91118    4568  444714  2045562  22.45
  1986        60-64     0.01730  0.08307  2.61   86551    7190  415578  1600848  18.50
  1986        65-69     0.02751  0.12892  2.57   79361   10231  371889  1185270  14.94
  1986        70-74     0.04280  0.19400  2.59   69129   13411  313335   813380  11.77
  1986        75-79     0.06569  0.28039  2.39   55718   15623  237821   500045   8.97
  1986        80-84     0.11832  0.45392  2.44   40095   18200  153827   262224   6.54
  1986        85-89     0.17283  0.58856  2.29   21895   12887   74561   108397   4.95
  1986        90-94     0.24378  0.71834  2.14    9009    6471   26545    33836   3.76
  1986        95-99     0.33284  0.82602  1.95    2537    2096    6297     7290   2.87
  1986       100-104    0.43541  0.90086  1.75     441     398     913      993   2.25
  1986       105-109    0.54407  0.94567  1.55      44      41      76       80   1.82
  1986       110+       0.63193  1.00000  1.58       2       2       4        4   1.58
  1987           0      0.00743  0.00738  0.13  100000     738   99361  7414199  74.14
  1987         1-4      0.00042  0.00169  1.62   99262     168  396649  7314838  73.69
  1987         5-9      0.00018  0.00091  2.60   99094      90  495255  6918189  69.81
  1987        10-14     0.00021  0.00106  2.66   99004     105  494776  6422934  64.88
  1987        15-19     0.00036  0.00181  2.81   98899     179  494105  5928158  59.94
  1987        20-24     0.00047  0.00235  2.73   98721     232  493076  5434053  55.04
  1987        25-29     0.00062  0.00309  2.66   98488     304  491731  4940977  50.17
  1987        30-34     0.00084  0.00420  2.38   98184     412  489842  4449245  45.32
  1987        35-39     0.00116  0.00576  2.58   97772     563  487497  3959404  40.50
  1987        40-44     0.00193  0.00959  2.58   97208     933  483785  3471907  35.72
  1987        45-49     0.00400  0.01983  2.69   96276    1910  476972  2988122  31.04
  1987        50-54     0.00658  0.03242  2.65   94366    3059  464647  2511150  26.61
  1987        55-59     0.01049  0.05118  2.60   91307    4673  445322  2046503  22.41
  1987        60-64     0.01631  0.07849  2.62   86634    6800  416983  1601181  18.48
  1987        65-69     0.02796  0.13098  2.59   79834   10457  373933  1184198  14.83
  1987        70-74     0.04183  0.18967  2.54   69377   13159  314545   810266  11.68
  1987        75-79     0.06825  0.29189  2.52   56218   16409  240443   495720   8.82
  1987        80-84     0.12234  0.46274  2.37   39809   18421  150575   255277   6.41
  1987        85-89     0.17464  0.59588  2.34   21388   12745   72977   104702   4.90
  1987        90-94     0.25069  0.72853  2.13    8643    6297   25118    31725   3.67
  1987        95-99     0.34056  0.83312  1.93    2346    1955    5740     6606   2.82
  1987       100-104    0.44334  0.90504  1.73     392     354     799      866   2.21
  1987       105-109    0.55147  0.94782  1.54      37      35      64       67   1.80
  1987       110+       0.63861  1.00000  1.57       2       2       3        3   1.57
  1988           0      0.00857  0.00851  0.13  100000     851   99262  7422996  74.23
  1988         1-4      0.00038  0.00154  1.47   99149     152  396211  7323735  73.87
  1988         5-9      0.00020  0.00098  2.66   98997      97  494757  6927524  69.98
  1988        10-14     0.00022  0.00112  2.67   98900     111  494241  6432767  65.04
  1988        15-19     0.00046  0.00232  2.86   98789     229  493455  5938526  60.11
  1988        20-24     0.00044  0.00221  2.74   98560     218  492306  5445071  55.25
  1988        25-29     0.00065  0.00326  2.67   98342     320  490962  4952765  50.36
  1988        30-34     0.00084  0.00417  2.51   98022     408  489092  4461803  45.52
  1988        35-39     0.00142  0.00706  2.70   97613     689  486484  3972711  40.70
  1988        40-44     0.00207  0.01032  2.64   96924    1000  482260  3486227  35.97
  1988        45-49     0.00346  0.01716  2.71   95924    1646  475849  3003967  31.32
  1988        50-54     0.00637  0.03138  2.67   94277    2958  464483  2528117  26.82
  1988        55-59     0.01071  0.05223  2.65   91319    4770  445408  2063634  22.60
  1988        60-64     0.01637  0.07877  2.62   86549    6817  416492  1618226  18.70
  1988        65-69     0.02641  0.12424  2.62   79732    9906  375117  1201734  15.07
  1988        70-74     0.04086  0.18623  2.62   69826   13004  318223   826617  11.84
  1988        75-79     0.06612  0.28505  2.58   56822   16197  244982   508393   8.95
  1988        80-84     0.11477  0.44261  2.42   40625   17981  156661   263411   6.48
  1988        85-89     0.17950  0.60858  2.36   22644   13781   76772   106750   4.71
  1988        90-94     0.27318  0.76230  2.10    8863    6757   24733    29977   3.38
  1988        95-99     0.38862  0.87421  1.85    2107    1842    4739     5245   2.49
  1988       100-104    0.51811  0.93885  1.60     265     249     480      505   1.91
  1988       105-109    0.64618  0.97008  1.39      16      16      24       25   1.54
  1988       110+       0.74314  1.00000  1.35       0       0       1        1   1.35
  1989           0      0.00712  0.00708  0.14  100000     708   99388  7409501  74.10
  1989         1-4      0.00030  0.00122  1.73   99292     121  396894  7310114  73.62
  1989         5-9      0.00016  0.00078  2.46   99171      78  495660  6913219  69.71
  1989        10-14     0.00019  0.00095  2.52   99094      94  495237  6417559  64.76
  1989        15-19     0.00038  0.00192  2.87   99000     190  494596  5922323  59.82
  1989        20-24     0.00064  0.00317  2.43   98810     313  493244  5427727  54.93
  1989        25-29     0.00075  0.00373  2.36   98497     367  491514  4934483  50.10
  1989        30-34     0.00094  0.00467  2.53   98129     459  489514  4442969  45.28
  1989        35-39     0.00127  0.00632  2.65   97671     617  486904  3953455  40.48
  1989        40-44     0.00224  0.01113  2.82   97054    1080  482911  3466551  35.72
  1989        45-49     0.00386  0.01910  2.57   95974    1833  475407  2983640  31.09
  1989        50-54     0.00630  0.03104  2.61   94141    2922  463722  2508232  26.64
  1989        55-59     0.01061  0.05175  2.64   91219    4720  444959  2044510  22.41
  1989        60-64     0.01662  0.07998  2.67   86499    6918  416339  1599551  18.49
  1989        65-69     0.02672  0.12572  2.65   79580   10005  374431  1183212  14.87
  1989        70-74     0.04415  0.19969  2.61   69576   13893  314690   808781  11.62
  1989        75-79     0.06730  0.29003  2.62   55682   16149  239950   494091   8.87
  1989        80-84     0.11800  0.45248  2.42   39533   17888  151588   254141   6.43
  1989        85-89     0.18232  0.60816  2.26   21645   13163   72201   102553   4.74
  1989        90-94     0.25725  0.73887  2.12    8481    6267   24360    30351   3.58
  1989        95-99     0.35537  0.84698  1.91    2215    1876    5279     5992   2.71
  1989       100-104    0.46718  0.91742  1.69     339     311     666      713   2.10
  1989       105-109    0.58283  0.95658  1.49      28      27      46       48   1.71
  1989       110+       0.67460  1.00000  1.48       1       1       2        2   1.48
  1990           0      0.00660  0.00656  0.14  100000     656   99433  7446777  74.47
  1990         1-4      0.00039  0.00155  1.60   99344     154  397005  7347344  73.96
  1990         5-9      0.00011  0.00057  2.50   99190      56  495809  6950340  70.07
  1990        10-14     0.00020  0.00100  2.64   99134      99  495434  6454531  65.11
  1990        15-19     0.00043  0.00216  3.18   99034     214  494782  5959097  60.17
  1990        20-24     0.00063  0.00312  2.43   98820     308  493307  5464315  55.30
  1990        25-29     0.00072  0.00360  2.48   98511     354  491665  4971008  50.46
  1990        30-34     0.00096  0.00480  2.69   98157     471  489699  4479343  45.63
  1990        35-39     0.00136  0.00676  2.63   97686     660  486868  3989644  40.84
  1990        40-44     0.00200  0.00997  2.70   97026     967  482904  3502775  36.10
  1990        45-49     0.00360  0.01783  2.67   96059    1712  476301  3019872  31.44
  1990        50-54     0.00570  0.02808  2.55   94346    2650  465250  2543570  26.96
  1990        55-59     0.01046  0.05112  2.75   91697    4688  447956  2078320  22.67
  1990        60-64     0.01574  0.07591  2.66   87009    6605  419561  1630364  18.74
  1990        65-69     0.02657  0.12504  2.64   80404   10053  378333  1210804  15.06
  1990        70-74     0.04207  0.19087  2.57   70351   13428  319165   832471  11.83
  1990        75-79     0.06515  0.28134  2.58   56923   16015  245804   513306   9.02
  1990        80-84     0.11427  0.44478  2.51   40908   18195  159225   267502   6.54
  1990        85-89     0.17730  0.60238  2.34   22713   13682   77166   108276   4.77
  1990        90-94     0.26738  0.75450  2.11    9031    6814   25484    31111   3.44
  1990        95-99     0.38048  0.86826  1.87    2217    1925    5060     5627   2.54
  1990       100-104    0.50820  0.93528  1.62     292     273     538      567   1.94
  1990       105-109    0.63576  0.96824  1.41      19      18      29       30   1.57
  1990       110+       0.73317  1.00000  1.36       1       1       1        1   1.36
  1991           0      0.00591  0.00588  0.14  100000     588   99493  7522709  75.23
  1991         1-4      0.00026  0.00103  1.78   99412     103  397419  7423217  74.67
  1991         5-9      0.00012  0.00062  2.94   99309      62  496417  7025798  70.75
  1991        10-14     0.00020  0.00100  2.72   99247     100  496009  6529381  65.79
  1991        15-19     0.00037  0.00183  2.77   99148     181  495333  6033372  60.85
  1991        20-24     0.00057  0.00286  2.49   98966     283  494118  5538039  55.96
  1991        25-29     0.00078  0.00389  2.58   98683     384  492484  5043920  51.11
  1991        30-34     0.00087  0.00435  2.73   98299     428  490523  4551436  46.30
  1991        35-39     0.00125  0.00624  2.71   97871     611  487956  4060913  41.49
  1991        40-44     0.00218  0.01084  2.64   97261    1055  483817  3572957  36.74
  1991        45-49     0.00343  0.01700  2.66   96206    1635  477202  3089140  32.11
  1991        50-54     0.00575  0.02838  2.69   94571    2684  466659  2611939  27.62
  1991        55-59     0.00891  0.04368  2.77   91887    4014  450490  2145279  23.35
  1991        60-64     0.01548  0.07466  2.62   87873    6561  423739  1694789  19.29
  1991        65-69     0.02384  0.11292  2.66   81312    9182  385079  1271051  15.63
  1991        70-74     0.03994  0.18200  2.56   72131   13128  328685   885972  12.28
  1991        75-79     0.06159  0.26754  2.55   59003   15786  256319   557287   9.45
  1991        80-84     0.10544  0.41662  2.48   43218   18005  170758   300968   6.96
  1991        85-89     0.16286  0.56440  2.28   25212   14230   87376   130210   5.16
  1991        90-94     0.23173  0.70042  2.18   10982    7692   33195    42834   3.90
  1991        95-99     0.32483  0.81916  1.97    3290    2695    8297     9639   2.93
  1991       100-104    0.43381  0.90070  1.75     595     536    1235     1342   2.26
  1991       105-109    0.54987  0.94786  1.54      59      56     102      107   1.80
  1991       110+       0.64360  1.00000  1.55       3       3       5        5   1.55
  1992           0      0.00460  0.00459  0.14  100000     459   99606  7490521  74.91
  1992         1-4      0.00032  0.00126  1.60   99541     126  397865  7390915  74.25
  1992         5-9      0.00018  0.00092  2.54   99416      91  496853  6993051  70.34
  1992        10-14     0.00025  0.00124  2.75   99324     124  496343  6496198  65.40
  1992        15-19     0.00042  0.00208  2.93   99201     206  495576  5999854  60.48
  1992        20-24     0.00066  0.00328  2.61   98995     324  494198  5504278  55.60
  1992        25-29     0.00080  0.00399  2.27   98670     394  492278  5010080  50.78
