Japan, Life tables (period 5x1), Males	Last modified: 21 Nov 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0      0.09545  0.08946  0.30  100000    8946   93730  4982789  49.83
  1947         1-4      0.01847  0.07042  1.33   91054    6412  347116  4889059  53.69
  1947         5-9      0.00342  0.01694  2.07   84642    1434  419008  4541943  53.66
  1947        10-14     0.00187  0.00929  2.51   83208     773  414118  4122935  49.55
  1947        15-19     0.00447  0.02214  2.96   82435    1825  408451  3708817  44.99
  1947        20-24     0.00860  0.04214  2.58   80610    3397  394821  3300366  40.94
  1947        25-29     0.00869  0.04250  2.44   77213    3282  377671  2905545  37.63
  1947        30-34     0.00827  0.04053  2.51   73931    2997  362186  2527873  34.19
  1947        35-39     0.00865  0.04231  2.51   70934    3002  347193  2165688  30.53
  1947        40-44     0.00983  0.04801  2.57   67933    3261  331733  1818495  26.77
  1947        45-49     0.01244  0.06038  2.61   64671    3905  314005  1486761  22.99
  1947        50-54     0.01751  0.08406  2.63   60766    5108  291728  1172756  19.30
  1947        55-59     0.02584  0.12175  2.63   55658    6777  262226   881028  15.83
  1947        60-64     0.04105  0.18670  2.58   48882    9126  222326   618802  12.66
  1947        65-69     0.06190  0.26843  2.53   39755   10671  172408   396477   9.97
  1947        70-74     0.09160  0.37153  2.46   29084   10806  117964   224069   7.70
  1947        75-79     0.13766  0.50804  2.42   18278    9286   67457   106105   5.80
  1947        80-84     0.20395  0.65135  2.23    8992    5857   28718    38648   4.30
  1947        85-89     0.29639  0.78733  2.02    3135    2468    8328     9930   3.17
  1947        90-94     0.40487  0.88663  1.83     667     591    1460     1602   2.40
  1947        95-99     0.52793  0.94149  1.58      76      71     135      142   1.87
  1947       100-104    0.64675  0.96984  1.39       4       4       7        7   1.54
  1947       105-109    0.75072  0.98314  1.25       0       0       0        0   1.33
  1947       110+       0.82386  1.00000  1.21       0       0       0        0   1.21
  1948           0      0.06895  0.06557  0.25  100000    6557   95103  5503845  55.04
  1948         1-4      0.01059  0.04125  1.44   93443    3855  363903  5408742  57.88
  1948         5-9      0.00256  0.01271  2.15   89588    1139  444696  5044839  56.31
  1948        10-14     0.00154  0.00767  2.49   88450     679  440547  4600143  52.01
  1948        15-19     0.00353  0.01750  2.96   87771    1536  435720  4159596  47.39
  1948        20-24     0.00737  0.03621  2.61   86235    3122  423728  3723877  43.18
  1948        25-29     0.00781  0.03831  2.45   83113    3184  407455  3300149  39.71
  1948        30-34     0.00723  0.03552  2.49   79929    2839  392527  2892694  36.19
  1948        35-39     0.00746  0.03664  2.52   77090    2824  378437  2500167  32.43
  1948        40-44     0.00853  0.04178  2.56   74265    3102  363761  2121730  28.57
  1948        45-49     0.01066  0.05194  2.59   71163    3696  346889  1757969  24.70
  1948        50-54     0.01527  0.07365  2.61   67467    4969  325479  1411080  20.92
  1948        55-59     0.02240  0.10636  2.64   62498    6647  296815  1085601  17.37
  1948        60-64     0.03422  0.15816  2.61   55851    8833  258143   788786  14.12
  1948        65-69     0.05143  0.22854  2.57   47017   10745  208950   530643  11.29
  1948        70-74     0.07549  0.31785  2.52   36272   11529  152728   321693   8.87
  1948        75-79     0.10932  0.42817  2.47   24743   10594   96911   168965   6.83
  1948        80-84     0.16576  0.57334  2.31   14149    8112   48937    72054   5.09
  1948        85-89     0.23852  0.71291  2.18    6037    4304   18043    23117   3.83
