Republic of Korea, Life tables (period 5x1), Males	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2003           0      0.00600  0.00597  0.14  100000     597   99485  7375247  73.75
  2003         1-4      0.00037  0.00148  1.89   99403     147  397303  7275762  73.19
  2003         5-9      0.00022  0.00112  2.28   99256     111  495976  6878459  69.30
  2003        10-14     0.00018  0.00091  2.61   99144      90  495506  6382483  64.38
  2003        15-19     0.00050  0.00250  2.89   99054     248  494750  5886976  59.43
  2003        20-24     0.00070  0.00347  2.69   98807     343  493240  5392226  54.57
  2003        25-29     0.00089  0.00442  2.59   98464     435  491270  4898986  49.75
  2003        30-34     0.00117  0.00585  2.68   98029     573  488814  4407716  44.96
  2003        35-39     0.00185  0.00922  2.74   97455     899  485243  3918903  40.21
  2003        40-44     0.00313  0.01556  2.71   96557    1502  479339  3433659  35.56
  2003        45-49     0.00484  0.02395  2.66   95055    2276  469940  2954320  31.08
  2003        50-54     0.00728  0.03578  2.64   92778    3320  456065  2484380  26.78
  2003        55-59     0.00999  0.04882  2.64   89458    4368  436994  2028315  22.67
  2003        60-64     0.01624  0.07817  2.63   85091    6652  409699  1591322  18.70
  2003        65-69     0.02598  0.12244  2.65   78439    9604  369667  1181623  15.06
  2003        70-74     0.04191  0.19050  2.61   68835   13113  312889   811956  11.80
  2003        75-79     0.06822  0.29229  2.55   55722   16287  238732   499068   8.96
  2003        80-84     0.11139  0.43329  2.44   39435   17087  153394   260336   6.60
  2003        85-89     0.17816  0.60114  2.30   22348   13434   75407   106942   4.79
  2003        90-94     0.26012  0.74565  2.14    8914    6647   25552    31535   3.54
  2003        95-99     0.36466  0.85555  1.90    2267    1940    5319     5983   2.64
  2003       100-104    0.48568  0.92616  1.66     328     303     625      664   2.03
  2003       105-109    0.60908  0.96289  1.45      24      23      38       40   1.63
  2003       110+       0.70530  1.00000  1.42       1       1       1        1   1.42
  2004           0      0.00509  0.00507  0.14  100000     507   99563  7426940  74.27
  2004         1-4      0.00036  0.00145  1.80   99493     144  397654  7327376  73.65
  2004         5-9      0.00023  0.00114  2.33   99349     114  496439  6929723  69.75
  2004        10-14     0.00018  0.00088  2.54   99235      88  495960  6433283  64.83
  2004        15-19     0.00043  0.00216  2.83   99147     214  495272  5937324  59.88
  2004        20-24     0.00059  0.00295  2.54   98933     292  493947  5442052  55.01
  2004        25-29     0.00075  0.00372  2.62   98641     367  492332  4948105  50.16
  2004        30-34     0.00096  0.00477  2.69   98274     469  490286  4455773  45.34
  2004        35-39     0.00170  0.00847  2.69   97805     829  487107  3965487  40.54
  2004        40-44     0.00290  0.01438  2.71   96976    1395  481691  3478380  35.87
  2004        45-49     0.00467  0.02311  2.66   95581    2209  472744  2996689  31.35
  2004        50-54     0.00701  0.03446  2.65   93372    3218  459291  2523945  27.03
  2004        55-59     0.00992  0.04843  2.62   90154    4367  440396  2064654  22.90
  2004        60-64     0.01556  0.07507  2.68   85787    6440  413993  1624258  18.93
  2004        65-69     0.02514  0.11870  2.65   79347    9419  374586  1210265  15.25
  2004        70-74     0.04103  0.18695  2.63   69928   13073  318624   835679  11.95
  2004        75-79     0.06680  0.28724  2.56   56855   16331  244487   517055   9.09
  2004        80-84     0.10970  0.42898  2.46   40524   17384  158467   272568   6.73
  2004        85-89     0.17092  0.58659  2.33   23140   13574   79415   114101   4.93
  2004        90-94     0.25139  0.72530  2.08    9566    6939   27601    34686   3.63
  2004        95-99     0.35614  0.84850  1.92    2628    2230    6261     7084   2.70
  2004       100-104    0.47558  0.92182  1.68     398     367     772      823   2.07
  2004       105-109    0.59849  0.96058  1.47      31      30      50       52   1.66
  2004       110+       0.69501  1.00000  1.44       1       1       2        2   1.44
  2005           0      0.00439  0.00437  0.14  100000     437   99624  7486126  74.86
  2005         1-4      0.00034  0.00135  1.81   99563     134  397957  7386502  74.19
  2005         5-9      0.00020  0.00102  2.37   99429     102  496876  6988545  70.29
  2005        10-14     0.00017  0.00082  2.71   99327      82  496447  6491669  65.36
  2005        15-19     0.00041  0.00203  2.76   99245     201  495775  5995222  60.41
  2005        20-24     0.00058  0.00290  2.57   99044     288  494521  5499447  55.53
  2005        25-29     0.00074  0.00368  2.53   98756     363  492885  5004927  50.68
  2005        30-34     0.00100  0.00498  2.60   98393     490  490790  4512042  45.86
  2005        35-39     0.00153  0.00762  2.73   97903     746  487822  4021252  41.07
  2005        40-44     0.00263  0.01309  2.71   97157    1272  482871  3533430  36.37
  2005        45-49     0.00436  0.02157  2.64   95885    2069  474551  3050559  31.81
  2005        50-54     0.00649  0.03197  2.64   93817    2999  461996  2576007  27.46
  2005        55-59     0.00909  0.04448  2.58   90817    4040  444313  2114011  23.28
  2005        60-64     0.01456  0.07042  2.67   86778    6111  419645  1669699  19.24
  2005        65-69     0.02381  0.11274  2.65   80667    9094  381994  1250054  15.50
  2005        70-74     0.03891  0.17791  2.60   71572   12733  327262   868060  12.13
  2005        75-79     0.06509  0.28101  2.57   58839   16534  254041   540798   9.19
  2005        80-84     0.10656  0.41915  2.46   42305   17732  166408   286757   6.78
  2005        85-89     0.17353  0.59569  2.37   24572   14638   84351   120348   4.90
  2005        90-94     0.25123  0.72887  2.12    9935    7241   28823    35998   3.62
  2005        95-99     0.36071  0.85270  1.91    2694    2297    6368     7174   2.66
  2005       100-104    0.48422  0.92579  1.66     397     367     759      807   2.03
  2005       105-109    0.61041  0.96329  1.45      29      28      46       48   1.63
  2005       110+       0.70864  1.00000  1.41       1       1       2        2   1.41
  2006           0      0.00442  0.00440  0.14  100000     440   99621  7543069  75.43
  2006         1-4      0.00030  0.00118  1.66   99560     118  397963  7443447  74.76
  2006         5-9      0.00017  0.00087  2.31   99442      87  496977  7045485  70.85
  2006        10-14     0.00017  0.00087  2.79   99355      86  496586  6548507  65.91
  2006        15-19     0.00039  0.00196  2.83   99269     194  495925  6051921  60.96
  2006        20-24     0.00051  0.00253  2.60   99075     251  494772  5555996  56.08
