Lithuania, Life tables (period 5x1), Males	Last modified: 19 Oct 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.06056  0.05785  0.23  100000    5785   95521  6437421  64.37
  1959         1-4      0.00222  0.00881  1.49   94215     830  374774  6341900  67.31
  1959         5-9      0.00099  0.00495  2.34   93384     462  465692  5967127  63.90
  1959        10-14     0.00101  0.00502  2.61   92922     467  463494  5501434  59.20
  1959        15-19     0.00175  0.00870  2.90   92456     804  460589  5037940  54.49
  1959        20-24     0.00228  0.01135  2.57   91651    1041  455731  4577351  49.94
  1959        25-29     0.00278  0.01379  2.63   90611    1249  450092  4121621  45.49
  1959        30-34     0.00313  0.01551  2.51   89362    1386  443353  3671529  41.09
  1959        35-39     0.00399  0.01973  2.51   87975    1736  435561  3228177  36.69
  1959        40-44     0.00473  0.02341  2.60   86239    2019  426343  2792616  32.38
  1959        45-49     0.00638  0.03139  2.55   84221    2644  414625  2366273  28.10
  1959        50-54     0.01013  0.04953  2.75   81577    4040  398785  1951648  23.92
  1959        55-59     0.01600  0.07717  2.72   77536    5983  374016  1552863  20.03
  1959        60-64     0.02499  0.11791  2.61   71553    8437  337568  1178847  16.48
  1959        65-69     0.03516  0.16205  2.59   63117   10228  290925   841279  13.33
  1959        70-74     0.05575  0.24492  2.52   52889   12954  232358   550355  10.41
  1959        75-79     0.08877  0.36501  2.57   39935   14577  164214   317997   7.96
  1959        80-84     0.12967  0.48529  2.41   25358   12306   94901   153783   6.06
  1959        85-89     0.20080  0.63836  2.15   13052    8332   41494    58881   4.51
  1959        90-94     0.25169  0.72843  2.11    4720    3438   13661    17387   3.68
  1959        95-99     0.32995  0.82162  1.95    1282    1053    3192     3727   2.91
  1959       100-104    0.41872  0.88992  1.77     229     203     486      535   2.34
  1959       105-109    0.51319  0.93449  1.60      25      24      46       49   1.93
  1959       110+       0.59011  1.00000  1.69       2       2       3        3   1.69
  1960           0      0.04339  0.04188  0.17  100000    4188   96523  6699005  66.99
  1960         1-4      0.00174  0.00692  1.48   95812     663  381579  6602482  68.91
  1960         5-9      0.00067  0.00334  2.33   95149     318  474896  6220902  65.38
  1960        10-14     0.00070  0.00351  2.23   94831     332  473235  5746007  60.59
  1960        15-19     0.00157  0.00781  2.96   94498     738  470985  5272772  55.80
  1960        20-24     0.00224  0.01112  2.63   93760    1043  466324  4801787  51.21
  1960        25-29     0.00279  0.01385  2.54   92717    1284  460433  4335463  46.76
  1960        30-34     0.00316  0.01571  2.62   91433    1436  453751  3875030  42.38
  1960        35-39     0.00404  0.01999  2.52   89997    1799  445522  3421279  38.02
  1960        40-44     0.00482  0.02379  2.46   88198    2099  435654  2975757  33.74
  1960        45-49     0.00683  0.03357  2.59   86099    2891  423530  2540103  29.50
  1960        50-54     0.00901  0.04414  2.71   83208    3673  407620  2116573  25.44
  1960        55-59     0.01466  0.07090  2.68   79535    5639  384603  1708954  21.49
  1960        60-64     0.02240  0.10625  2.58   73897    7851  350449  1324351  17.92
  1960        65-69     0.02797  0.13070  2.50   66045    8632  308660   973902  14.75
  1960        70-74     0.04778  0.21317  2.47   57413   12239  256156   665242  11.59
  1960        75-79     0.07321  0.30980  2.52   45175   13995  191174   409086   9.06
