Luxembourg, Life tables (period 5x1), Males	Last modified: 29 Oct 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1960           0      0.03961  0.03833  0.16  100000    3833   96771  6603231  66.03
  1960         1-4      0.00229  0.00912  1.61   96167     877  382570  6506461  67.66
  1960         5-9      0.00069  0.00342  1.38   95290     326  475268  6123891  64.27
  1960        10-14     0.00059  0.00296  3.18   94964     281  474308  5648622  59.48
  1960        15-19     0.00099  0.00492  2.98   94683     465  472472  5174315  54.65
  1960        20-24     0.00184  0.00919  3.03   94217     866  469378  4701843  49.90
  1960        25-29     0.00150  0.00745  2.26   93352     696  464853  4232465  45.34
  1960        30-34     0.00198  0.00987  2.71   92656     914  461190  3767612  40.66
  1960        35-39     0.00194  0.00965  2.15   91742     885  456191  3306423  36.04
  1960        40-44     0.00389  0.01931  2.94   90857    1754  450675  2850232  31.37
  1960        45-49     0.00712  0.03503  2.79   89102    3121  438617  2399557  26.93
  1960        50-54     0.01204  0.05849  2.60   85981    5029  417851  1960940  22.81
  1960        55-59     0.01592  0.07668  2.63   80952    6208  390042  1543089  19.06
  1960        60-64     0.02512  0.11830  2.55   74744    8842  352059  1153047  15.43
  1960        65-69     0.03932  0.18001  2.66   65902   11863  301739   800988  12.15
  1960        70-74     0.06840  0.29360  2.59   54039   15866  231936   499250   9.24
  1960        75-79     0.09743  0.39122  2.48   38173   14934  153284   267314   7.00
  1960        80-84     0.16682  0.57966  2.37   23239   13471   80748   114030   4.91
  1960        85-89     0.26858  0.75860  2.13    9768    7410   27590    33282   3.41
  1960        90-94     0.40097  0.88457  1.84    2358    2086    5202     5692   2.41
  1960        95-99     0.54987  0.94995  1.56     272     259     470      490   1.80
  1960       100-104    0.69195  0.97735  1.33      14      13      19       20   1.44
  1960       105-109    0.80650  0.98800  1.18       0       0       0        0   1.24
  1960       110+       0.87908  1.00000  1.14       0       0       0        0   1.14
  1961           0      0.02902  0.02830  0.12  100000    2830   97518  6677501  66.78
  1961         1-4      0.00129  0.00513  1.81   97170     499  387587  6579983  67.72
  1961         5-9      0.00085  0.00426  2.02   96671     412  482129  6192396  64.06
  1961        10-14     0.00038  0.00190  3.74   96259     183  481065  5710267  59.32
  1961        15-19     0.00126  0.00631  2.83   96076     606  479068  5229201  54.43
  1961        20-24     0.00291  0.01444  2.31   95470    1379  473644  4750133  49.76
  1961        25-29     0.00246  0.01223  2.37   94091    1151  467426  4276489  45.45
  1961        30-34     0.00189  0.00942  2.68   92940     875  462670  3809063  40.98
  1961        35-39     0.00249  0.01238  2.62   92065    1140  457608  3346393  36.35
  1961        40-44     0.00250  0.01242  2.79   90925    1129  452131  2888786  31.77
  1961        45-49     0.00656  0.03235  2.88   89796    2905  442819  2436655  27.14
  1961        50-54     0.01108  0.05383  2.38   86891    4677  422177  1993836  22.95
  1961        55-59     0.01666  0.08008  2.58   82213    6584  395160  1571658  19.12
  1961        60-64     0.02836  0.13222  2.45   75629   10000  352620  1176498  15.56
  1961        65-69     0.04125  0.18756  2.58   65629   12310  298385   823878  12.55
  1961        70-74     0.06011  0.26319  2.64   53320   14033  233463   525493   9.86
  1961        75-79     0.08771  0.36061  2.54   39286   14167  161515   292031   7.43
  1961        80-84     0.15989  0.56098  2.34   25119   14091   88130   130515   5.20
  1961        85-89     0.23550  0.70674  2.17   11028    7794   33095    42386   3.84
  1961        90-94     0.33188  0.82633  1.96    3234    2672    8052     9290   2.87
  1961        95-99     0.44439  0.90661  1.74     562     509    1146     1238   2.20
  1961       100-104    0.56329  0.95177  1.52      52      50      89       92   1.76
  1961       105-109    0.67616  0.97431  1.35       3       2       4        4   1.47
  1961       110+       0.76048  1.00000  1.31       0       0       0        0   1.31
  1962           0      0.03756  0.03640  0.15  100000    3640   96909  6567052  65.67
  1962         1-4      0.00109  0.00433  1.67   96360     418  384465  6470144  67.15
  1962         5-9      0.00100  0.00500  2.20   95942     479  478368  6085679  63.43
  1962        10-14     0.00047  0.00235  2.91   95463     225  476845  5607311  58.74
  1962        15-19     0.00106  0.00527  3.20   95238     502  475287  5130466  53.87
  1962        20-24     0.00123  0.00613  2.54   94736     580  472251  4655179  49.14
  1962        25-29     0.00199  0.00990  2.14   94156     932  468113  4182928  44.43
  1962        30-34     0.00187  0.00934  3.01   93224     871  464387  3714815  39.85
  1962        35-39     0.00140  0.00697  2.35   92353     644  460059  3250428  35.20
  1962        40-44     0.00371  0.01839  2.74   91709    1687  454730  2790369  30.43
  1962        45-49     0.00759  0.03731  2.69   90022    3359  442336  2335639  25.95
  1962        50-54     0.01258  0.06098  2.51   86663    5285  420142  1893303  21.85
  1962        55-59     0.01971  0.09429  2.70   81378    7673  389255  1473161  18.10
  1962        60-64     0.02972  0.13867  2.60   73705   10221  343958  1083906  14.71
  1962        65-69     0.04584  0.20564  2.50   63484   13055  284824   739948  11.66
  1962        70-74     0.06515  0.28018  2.50   50429   14129  216879   455125   9.03
  1962        75-79     0.11077  0.43086  2.42   36300   15640  141192   238245   6.56
  1962        80-84     0.17665  0.60163  2.35   20660   12429   70360    97053   4.70
  1962        85-89     0.28481  0.77973  2.10    8230    6417   22531    26693   3.24
  1962        90-94     0.42364  0.89869  1.80    1813    1629    3846     4162   2.30
  1962        95-99     0.57630  0.95701  1.51     184     176     305      316   1.72
  1962       100-104    0.71743  0.98042  1.29       8       8      11       11   1.39
  1962       105-109    0.82712  0.98932  1.16       0       0       0        0   1.21
  1962       110+       0.89449  1.00000  1.12       0       0       0        0   1.12
  1963           0      0.03483  0.03382  0.14  100000    3382   97098  6594482  65.94
  1963         1-4      0.00128  0.00510  1.57   96618     493  385276  6497385  67.25
  1963         5-9      0.00080  0.00399  1.42   96125     383  479255  6112109  63.58
  1963        10-14     0.00027  0.00134  1.58   95742     128  478272  5632854  58.83
  1963        15-19     0.00217  0.01079  3.12   95614    1032  476131  5154582  53.91
  1963        20-24     0.00271  0.01343  2.20   94582    1270  469357  4678451  49.46
  1963        25-29     0.00163  0.00814  2.71   93312     760  464821  4209094  45.11
  1963        30-34     0.00115  0.00573  2.71   92552     530  461544  3744273  40.46
  1963        35-39     0.00268  0.01332  2.75   92022    1226  457353  3282729  35.67
  1963        40-44     0.00380  0.01883  2.90   90796    1710  450389  2825376  31.12
  1963        45-49     0.00588  0.02905  2.89   89086    2588  439959  2374987  26.66
  1963        50-54     0.01082  0.05278  2.71   86498    4565  422028  1935028  22.37
  1963        55-59     0.01820  0.08723  2.62   81933    7147  392667  1513000  18.47
  1963        60-64     0.03121  0.14478  2.50   74786   10828  346899  1120333  14.98
  1963        65-69     0.04261  0.19274  2.53   63958   12327  289308   773434  12.09
  1963        70-74     0.06750  0.28834  2.47   51631   14887  220539   484126   9.38
  1963        75-79     0.09783  0.38898  2.37   36744   14293  146099   263587   7.17
  1963        80-84     0.16839  0.57628  2.26   22451   12938   76836   117489   5.23
  1963        85-89     0.21483  0.66746  2.16    9513    6350   29556    40653   4.27
  1963        90-94     0.26973  0.75098  2.05    3163    2376    8807    11096   3.51
  1963        95-99     0.33256  0.82174  1.92     788     647    1947     2289   2.91
  1963       100-104    0.40188  0.87719  1.79     140     123     307      342   2.44
  1963       105-109    0.47537  0.91760  1.65      17      16      33       36   2.08
  1963       110+       0.53502  1.00000  1.87       1       1       3        3   1.87
  1964           0      0.03739  0.03624  0.15  100000    3624   96921  6543776  65.44
  1964         1-4      0.00166  0.00663  2.03   96376     639  384246  6446856  66.89
  1964         5-9      0.00065  0.00323  3.04   95737     309  478081  6062610  63.33
  1964        10-14     0.00052  0.00262  2.05   95428     250  476404  5584529  58.52
  1964        15-19     0.00121  0.00603  2.93   95178     574  474703  5108125  53.67
  1964        20-24     0.00252  0.01253  2.56   94604    1186  470132  4633422  48.98
  1964        25-29     0.00128  0.00637  3.18   93419     595  466009  4163291  44.57
  1964        30-34     0.00240  0.01194  2.93   92824    1109  461824  3697282  39.83
  1964        35-39     0.00252  0.01252  3.29   91715    1149  456615  3235458  35.28
  1964        40-44     0.00439  0.02169  2.56   90567    1965  448045  2778844  30.68
  1964        45-49     0.00772  0.03794  2.72   88602    3362  435345  2330799  26.31
  1964        50-54     0.01199  0.05834  2.70   85240    4973  414759  1895453  22.24
  1964        55-59     0.01991  0.09501  2.60   80267    7626  382997  1480695  18.45
  1964        60-64     0.03279  0.15218  2.64   72641   11055  337098  1097698  15.11
  1964        65-69     0.04279  0.19363  2.55   61586   11925  278683   760600  12.35
  1964        70-74     0.06790  0.29310  2.67   49661   14556  214378   481916   9.70
  1964        75-79     0.09641  0.38696  2.45   35106   13584  140898   267538   7.62
  1964        80-84     0.13682  0.50357  2.38   21521   10838   79209   126640   5.88
  1964        85-89     0.19830  0.64102  2.24   10684    6848   34536    47431   4.44
  1964        90-94     0.27784  0.76564  2.07    3835    2936   10569    12895   3.36
  1964        95-99     0.37387  0.86106  1.87     899     774    2070     2326   2.59
  1964       100-104    0.48092  0.92296  1.66     125     115     240      256   2.05
  1964       105-109    0.59018  0.95800  1.48      10       9      16       16   1.69
  1964       110+       0.67659  1.00000  1.48       0       0       1        1   1.48
  1965           0      0.02950  0.02876  0.12  100000    2876   97482  6608878  66.09
  1965         1-4      0.00096  0.00381  1.11   97124     370  387427  6511396  67.04
  1965         5-9      0.00063  0.00314  2.54   96754     304  483021  6123969  63.29
  1965        10-14     0.00035  0.00174  3.05   96450     168  481922  5640948  58.49
  1965        15-19     0.00134  0.00669  3.16   96282     644  480224  5159025  53.58
  1965        20-24     0.00163  0.00812  2.25   95638     777  476052  4678802  48.92
  1965        25-29     0.00185  0.00920  2.50   94862     873  472126  4202749  44.30
  1965        30-34     0.00196  0.00975  2.34   93989     916  467504  3730623  39.69
  1965        35-39     0.00228  0.01134  2.78   93072    1055  463022  3263119  35.06
  1965        40-44     0.00594  0.02933  2.83   92017    2698  454236  2800097  30.43
  1965        45-49     0.00718  0.03533  2.72   89319    3155  439384  2345861  26.26
  1965        50-54     0.01139  0.05545  2.63   86163    4778  419492  1906477  22.13
  1965        55-59     0.01817  0.08695  2.53   81385    7077  389415  1486985  18.27
  1965        60-64     0.03277  0.15153  2.52   74308   11260  343645  1097570  14.77
  1965        65-69     0.04413  0.19982  2.64   63049   12599  285472   753925  11.96
  1965        70-74     0.06526  0.28233  2.61   50450   14244  218261   468452   9.29
  1965        75-79     0.09959  0.39792  2.48   36206   14407  144667   250191   6.91
  1965        80-84     0.17708  0.59851  2.29   21799   13047   73679   105524   4.84
  1965        85-89     0.25274  0.73195  2.13    8752    6406   25347    31846   3.64
  1965        90-94     0.34645  0.83885  1.93    2346    1968    5680     6498   2.77
  1965        95-99     0.45358  0.91061  1.71     378     344     759      818   2.16
  1965       100-104    0.56555  0.95197  1.52      34      32      57       59   1.75
  1965       105-109    0.67189  0.97346  1.35       2       2       2        2   1.48
  1965       110+       0.75202  1.00000  1.33       0       0       0        0   1.33
  1966           0      0.02954  0.02880  0.12  100000    2880   97479  6626994  66.27
  1966         1-4      0.00103  0.00412  1.14   97120     400  387337  6529515  67.23
  1966         5-9      0.00046  0.00232  2.17   96720     224  482969  6142177  63.50
  1966        10-14     0.00033  0.00167  2.28   96496     161  482043  5659209  58.65
  1966        15-19     0.00098  0.00487  2.72   96335     469  480608  5177166  53.74
  1966        20-24     0.00212  0.01052  2.66   95866    1009  476970  4696558  48.99
  1966        25-29     0.00169  0.00842  2.80   94857     798  472532  4219588  44.48
  1966        30-34     0.00213  0.01062  2.95   94059     999  468247  3747056  39.84
  1966        35-39     0.00226  0.01126  2.40   93060    1048  462577  3278810  35.23
  1966        40-44     0.00491  0.02424  2.55   92012    2230  454602  2816233  30.61
  1966        45-49     0.00660  0.03249  2.75   89782    2917  442357  2361631  26.30
  1966        50-54     0.01173  0.05723  2.86   86864    4972  423665  1919274  22.10
  1966        55-59     0.02071  0.09868  2.63   81893    8081  390281  1495610  18.26
  1966        60-64     0.02901  0.13574  2.63   73812   10019  345303  1105329  14.98
  1966        65-69     0.04480  0.20197  2.57   63793   12884  287625   760026  11.91
  1966        70-74     0.06858  0.29245  2.49   50908   14888  217104   472401   9.28
  1966        75-79     0.10287  0.40248  2.30   36020   14497  140926   255297   7.09
  1966        80-84     0.15545  0.55043  2.35   21523   11847   76207   114371   5.31
  1966        85-89     0.22839  0.69511  2.19    9676    6726   29450    38164   3.94
  1966        90-94     0.32168  0.81616  1.98    2950    2408    7485     8714   2.95
  1966        95-99     0.43135  0.89945  1.76     542     488    1131     1229   2.27
  1966       100-104    0.54848  0.94752  1.55      55      52      94       99   1.81
  1966       105-109    0.66124  0.97202  1.37       3       3       4        4   1.51
  1966       110+       0.74645  1.00000  1.34       0       0       0        0   1.34
  1967           0      0.02396  0.02346  0.11  100000    2346   97904  6653360  66.53
  1967         1-4      0.00095  0.00378  2.00   97654     369  389878  6555457  67.13
  1967         5-9      0.00054  0.00269  1.92   97285     262  485620  6165579  63.38
  1967        10-14     0.00066  0.00328  3.27   97023     319  484564  5679959  58.54
  1967        15-19     0.00105  0.00524  2.43   96705     507  482218  5195395  53.72
  1967        20-24     0.00138  0.00686  2.37   96198     660  479254  4713176  48.99
  1967        25-29     0.00152  0.00756  2.74   95538     722  476058  4233922  44.32
