New Zealand, Life tables (period 5x1), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1948           0      0.03214  0.03126  0.13  100000    3126   97290  6696815  66.97
  1948         1-4      0.00256  0.01018  1.47   96874     986  385003  6599525  68.13
  1948         5-9      0.00089  0.00446  1.98   95887     428  478143  6214523  64.81
  1948        10-14     0.00117  0.00582  2.52   95460     556  475920  5736379  60.09
  1948        15-19     0.00150  0.00748  2.76   94904     710  472931  5260460  55.43
  1948        20-24     0.00206  0.01026  2.36   94194     966  468427  4787529  50.83
  1948        25-29     0.00175  0.00872  2.49   93228     813  464104  4319102  46.33
  1948        30-34     0.00184  0.00917  2.54   92415     848  459990  3854998  41.71
  1948        35-39     0.00229  0.01141  2.56   91567    1045  455292  3395008  37.08
  1948        40-44     0.00347  0.01723  2.72   90523    1560  449053  2939716  32.47
  1948        45-49     0.00630  0.03107  2.84   88963    2764  438850  2490663  28.00
  1948        50-54     0.00939  0.04597  2.75   86199    3963  422060  2051813  23.80
  1948        55-59     0.01484  0.07173  2.67   82236    5899  397454  1629753  19.82
  1948        60-64     0.02529  0.11961  2.74   76337    9131  361064  1232299  16.14
  1948        65-69     0.03758  0.17209  2.55   67206   11566  307726   871236  12.96
  1948        70-74     0.05781  0.25505  2.69   55641   14191  245463   563510  10.13
  1948        75-79     0.09463  0.38432  2.56   41450   15930  168341   318047   7.67
  1948        80-84     0.13114  0.48917  2.40   25520   12483   95191   149706   5.87
  1948        85-89     0.21241  0.66784  2.22   13036    8706   40988    54515   4.18
  1948        90-94     0.30060  0.79492  2.04    4330    3442   11451    13527   3.12
  1948        95-99     0.41665  0.89191  1.79     888     792    1901     2076   2.34
  1948       100-104    0.54300  0.94651  1.56      96      91     167      175   1.82
  1948       105-109    0.66501  0.97292  1.36       5       5       8        8   1.50
  1948       110+       0.75632  1.00000  1.32       0       0       0        0   1.32
  1949           0      0.03380  0.03284  0.14  100000    3284   97171  6727224  67.27
  1949         1-4      0.00247  0.00980  1.48   96716     948  384473  6630053  68.55
  1949         5-9      0.00083  0.00414  2.19   95768     397  477725  6245580  65.22
  1949        10-14     0.00084  0.00417  2.55   95371     397  475883  5767856  60.48
  1949        15-19     0.00168  0.00835  2.82   94974     793  473136  5291973  55.72
  1949        20-24     0.00190  0.00944  2.54   94181     889  468714  4818837  51.17
  1949        25-29     0.00152  0.00758  2.35   93291     707  464588  4350124  46.63
  1949        30-34     0.00190  0.00947  2.49   92585     877  460719  3885536  41.97
  1949        35-39     0.00257  0.01279  2.63   91708    1173  455755  3424817  37.34
  1949        40-44     0.00322  0.01598  2.46   90535    1447  448998  2969062  32.79
  1949        45-49     0.00555  0.02739  2.70   89088    2440  439817  2520063  28.29
  1949        50-54     0.00991  0.04845  2.67   86648    4198  423451  2080246  24.01
  1949        55-59     0.01414  0.06854  2.78   82450    5651  399726  1656795  20.09
  1949        60-64     0.02312  0.10952  2.61   76799    8411  363852  1257069  16.37
  1949        65-69     0.03706  0.16950  2.49   68387   11592  312805   893218  13.06
  1949        70-74     0.06143  0.26876  2.67   56795   15264  248461   580413  10.22
  1949        75-79     0.08755  0.36089  2.57   41531   14988  171200   331953   7.99
  1949        80-84     0.12677  0.48132  2.50   26543   12776  100780   160752   6.06
  1949        85-89     0.20134  0.64664  2.23   13767    8903   44216    59972   4.36
  1949        90-94     0.28808  0.78044  2.06    4865    3797   13180    15756   3.24
  1949        95-99     0.40266  0.88325  1.82    1068     943    2343     2576   2.41
  1949       100-104    0.52910  0.94224  1.58     125     117     222      233   1.87
  1949       105-109    0.65285  0.97104  1.38       7       7      11       11   1.53
  1949       110+       0.74628  1.00000  1.34       0       0       0        0   1.34
  1950           0      0.03081  0.03001  0.13  100000    3001   97386  6741050  67.41
  1950         1-4      0.00197  0.00784  1.51   96999     760  386104  6643664  68.49
  1950         5-9      0.00084  0.00419  2.55   96239     403  480206  6257560  65.02
  1950        10-14     0.00082  0.00411  2.61   95836     394  478238  5777354  60.28
  1950        15-19     0.00166  0.00825  2.84   95442     788  475511  5299116  55.52
  1950        20-24     0.00178  0.00886  2.34   94655     839  471043  4823605  50.96
  1950        25-29     0.00141  0.00704  2.29   93816     660  467290  4352563  46.39
  1950        30-34     0.00178  0.00887  2.64   93156     826  463828  3885272  41.71
  1950        35-39     0.00264  0.01309  2.59   92329    1209  458735  3421445  37.06
  1950        40-44     0.00308  0.01529  2.68   91121    1393  452376  2962710  32.51
  1950        45-49     0.00554  0.02735  2.84   89727    2454  443323  2510334  27.98
  1950        50-54     0.00934  0.04569  2.64   87273    3988  426939  2067010  23.68
  1950        55-59     0.01571  0.07574  2.63   83285    6308  401491  1640071  19.69
  1950        60-64     0.02366  0.11211  2.66   76977    8630  364725  1238580  16.09
  1950        65-69     0.03794  0.17341  2.53   68347   11852  312404   873855  12.79
  1950        70-74     0.05962  0.26121  2.63   56495   14757  247515   561452   9.94
