Taiwan, Life tables (period 5x1), Males	Last modified: 18 Dec 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1970           0      0.01778  0.01750  0.11  100000    1750   98449  6632441  66.32
  1970         1-4      0.00302  0.01201  1.48   98250    1180  390030  6533992  66.50
  1970         5-9      0.00069  0.00345  2.09   97070     334  484378  6143962  63.29
  1970        10-14     0.00060  0.00301  2.79   96736     292  483032  5659584  58.51
  1970        15-19     0.00124  0.00618  2.67   96444     596  480828  5176552  53.67
  1970        20-24     0.00189  0.00942  2.70   95848     903  477164  4695724  48.99
  1970        25-29     0.00212  0.01054  2.49   94945    1000  472208  4218560  44.43
  1970        30-34     0.00265  0.01319  2.63   93944    1239  466784  3746352  39.88
  1970        35-39     0.00324  0.01605  2.54   92705    1488  459870  3279568  35.38
  1970        40-44     0.00426  0.02110  2.65   91217    1925  451563  2819698  30.91
  1970        45-49     0.00670  0.03298  2.64   89293    2945  439511  2368135  26.52
  1970        50-54     0.01082  0.05275  2.65   86348    4554  421021  1928624  22.34
  1970        55-59     0.01616  0.07791  2.69   81793    6372  394256  1507603  18.43
  1970        60-64     0.02936  0.13728  2.63   75421   10354  352602  1113347  14.76
  1970        65-69     0.04704  0.21115  2.58   65067   13739  292064   760746  11.69
  1970        70-74     0.07323  0.30994  2.52   51328   15909  217239   468682   9.13
  1970        75-79     0.11165  0.43358  2.42   35419   15357  137545   251443   7.10
  1970        80-84     0.14890  0.53156  2.31   20062   10664   71621   113898   5.68
  1970        85-89     0.19786  0.63881  2.23    9398    6003   30343    42276   4.50
  1970        90-94     0.26641  0.74847  2.07    3394    2541    9537    11934   3.52
  1970        95-99     0.34338  0.83364  1.91     854     712    2073     2397   2.81
  1970       100-104    0.42943  0.89578  1.75     142     127     296      325   2.28
  1970       105-109    0.52007  0.93665  1.58      15      14      27       28   1.91
  1970       110+       0.59363  1.00000  1.68       1       1       2        2   1.68
  1971           0      0.01628  0.01605  0.12  100000    1605   98582  6687827  66.88
  1971         1-4      0.00282  0.01118  1.32   98395    1100  390631  6589244  66.97
  1971         5-9      0.00071  0.00353  2.28   97294     344  485537  6198613  63.71
  1971        10-14     0.00056  0.00280  2.67   96951     272  484120  5713076  58.93
  1971        15-19     0.00107  0.00533  2.72   96679     515  482219  5228956  54.09
  1971        20-24     0.00178  0.00885  2.71   96164     851  478868  4746738  49.36
  1971        25-29     0.00216  0.01076  2.42   95312    1026  473913  4267870  44.78
  1971        30-34     0.00250  0.01240  2.63   94287    1170  468660  3793957  40.24
