"Live births by region and year"

"region","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"01 Stockholm county",20095,19703,21113,22834,22316,21235,20778,19292,18695,18055,17761,18702,19380,18287,18067,17750,18565,19487,20820,21642,23217,23935,25322,24986,25546,24827,24398,22626,21354,20646,20815,20863,21837,22622,24084,25028,25779,25836,26983,27421,27948,28570,29619,28650,28932,29613,29496,29381,29457,28805
"03 Uppsala county",3559,3458,3502,3805,3670,3599,3631,3376,3137,3065,2981,3147,3287,3097,3015,3073,3070,3426,3509,3619,3770,4021,4206,4311,4209,4094,4076,3681,3252,3123,3091,2919,3078,3180,3322,3450,3625,3497,3679,3825,4069,3965,4141,3999,4124,3931,3997,4167,4274,4149
"04 Södermanland county",3615,3376,3246,3478,3344,3307,3385,3075,2819,2775,2788,2859,2805,2769,2647,2661,2694,2813,2851,2936,3157,3366,3605,3576,3439,3417,3122,2888,2615,2347,2282,2368,2420,2470,2597,2714,2619,2664,2762,2865,2833,2863,3003,2891,3010,3024,3151,3161,3266,3291
"05 Östergötland county",5184,4957,5369,5402,5260,5317,5333,4904,4694,4706,4456,4574,4660,4366,4247,4236,4203,4612,4889,4955,5229,5317,5806,5778,5763,5646,5305,4953,4579,4175,3957,3920,3990,3940,4204,4292,4341,4430,4575,4622,4671,4877,5001,4770,5085,5050,5083,5129,5227,5009
"06 Jönköping county",4496,4355,4431,4549,4305,4327,4260,4022,3902,3959,3666,3821,3772,3565,3594,3718,3660,3842,3923,3963,4323,4300,4693,4825,4739,4611,4192,3840,3511,3358,3390,3178,3239,3353,3513,3551,3681,3583,3679,3732,3814,3842,3970,4005,3911,3907,4047,4083,4192,4087
"07 Kronoberg county",2434,2314,2326,2416,2257,2276,2366,2250,2132,2079,2030,2111,2043,2021,1995,1961,1946,2002,2079,2138,2197,2234,2411,2401,2460,2257,2153,2035,1802,1764,1704,1645,1570,1675,1782,1809,1887,1842,1993,1957,2040,2062,2129,1984,2089,2141,2160,2133,2331,2258
"08 Kalmar county",3180,3029,3114,3081,3011,3020,2992,2826,2698,2659,2508,2699,2583,2651,2596,2486,2612,2750,2664,2761,2927,3055,3368,3287,3284,3158,2845,2635,2302,2057,2061,1991,2062,2011,2100,2075,2099,2114,2186,2210,2195,2262,2345,2211,2396,2329,2372,2464,2488,2541
"09 Gotland county",751,685,676,753,739,719,745,651,633,692,585,696,653,698,696,680,677,663,682,730,806,804,933,794,796,745,712,616,559,542,465,517,519,482,547,499,478,518,518,485,548,563,593,535,566,525,529,491,509,535
"10 Blekinge county",2188,2150,2077,2148,2028,2066,2039,2092,1908,1812,1696,1756,1694,1656,1594,1635,1597,1630,1718,1693,1705,1796,1955,1994,1891,1806,1738,1612,1457,1360,1421,1344,1407,1298,1494,1499,1555,1567,1619,1579,1550,1612,1586,1567,1522,1525,1614,1582,1625,1593
"12 Skåne county",13623,13028,13370,13783,13595,13327,13482,13183,12388,11876,11673,11963,11371,11203,10991,11004,11131,11502,12158,12426,13407,13691,14693,14578,14710,13955,13478,12744,11718,11343,11105,11196,11449,11496,12091,12559,12739,13082,13964,14310,14979,15316,15867,15438,15672,15654,15750,15579,15955,15646
